転出ゾーン,移動総数,市外,市内総数,番町,東雲,八坂,素鵞,雄郡,新玉,味酒,清水,桑原,道後,味生,生石,垣生,宮前,三津浜,高浜,久枝,潮見,和気,堀江,余土,由良,泊,久米,湯山,日浦,伊台,五明,小野,浮穴,石井,荏原,坂本,浅海,立岩,難波,正岡,北条,河野,粟井,睦野,東中島,西中島,神和
味生,1832,689,1143,3,10,5,28,73,39,43,35,23,12,393,84,26,58,18,29,31,20,11,31,48,,,16,6,,1,,6,5,58,5,1,,2,1,,9,6,3,,1,1,2
生石,1211,473,738,4,8,5,14,48,17,11,19,17,5,83,236,59,11,11,9,11,6,10,17,53,,,13,4,,1,,5,4,37,2,2,,,3,,1,,10,,2,,
垣生,576,255,321,,1,5,2,24,6,9,10,8,3,9,25,137,3,4,,5,,6,2,21,2,,5,1,,,,,6,18,2,,,,,2,,,5,,,,
宮前,791,297,494,5,4,2,12,12,16,19,15,8,9,26,9,1,170,31,24,44,1,6,12,16,,,6,,,5,,,,16,5,1,,,,,6,7,4,,2,,
三津浜,303,111,192,,,2,1,5,3,7,15,10,6,19,9,1,32,28,13,11,1,3,6,5,,,,1,,,,1,,9,,,,,,,1,,2,,,,1
高浜,318,125,193,1,,1,6,6,6,11,15,1,4,13,,,29,10,34,10,6,4,10,2,,1,6,,,,,2,1,6,,,,,,,3,2,1,,,1,1
久枝,1396,453,943,3,3,1,8,48,11,54,83,24,34,38,14,10,46,4,10,285,62,35,36,26,,,21,6,,4,,1,3,50,3,,,,,3,6,6,4,,1,,
潮見,769,283,486,2,3,,16,11,4,20,40,11,8,13,9,1,6,4,9,40,138,33,32,10,,,4,1,,5,,6,1,20,1,,,,,,17,1,19,1,,,
和気,698,227,471,1,3,3,8,15,6,20,22,4,7,34,7,2,15,2,11,23,14,154,40,6,,2,4,,,2,,3,,15,3,,,,2,5,6,12,19,,1,,
堀江,691,210,481,1,4,1,6,16,9,8,16,7,20,14,4,4,7,1,4,28,54,42,143,6,2,,9,4,,2,1,2,3,7,1,,9,,4,,14,3,25,,,,
余土,1734,729,1005,3,11,10,31,111,21,17,23,29,10,43,83,52,7,1,2,14,11,7,9,290,1,,22,9,,3,,12,7,143,12,1,,,,,6,1,2,,,1,
由良,23,5,18,,,,,1,3,1,,,,,,2,1,1,4,,1,,,,3,1,,,,,,,,,,,,,,,,,,,,,
泊,21,6,15,1,,,1,,,,,,1,,,,,1,,2,,,,,2,2,2,1,,,,,,2,,,,,,,,,,,,,
久米,2356,925,1431,5,19,9,87,39,14,17,22,158,56,19,13,7,5,3,15,18,14,1,9,42,,,490,15,,1,,118,34,168,12,3,3,,,,8,3,,,2,,2
湯山,414,171,243,3,6,4,15,5,3,1,7,31,12,5,4,2,4,6,1,15,1,3,4,1,,,10,53,,6,,1,1,22,9,,,,,,1,3,4,,,,
日浦,7,1,6,,1,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
伊台,239,104,135,1,,5,1,2,2,9,5,7,22,4,,,,1,,1,,2,16,1,,,21,4,,10,,2,,15,1,,,,,,3,,,,,,
五明,22,11,11,,,,1,,,,1,,3,,,,,,,,2,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,
小野,1311,833,478,2,7,1,24,13,3,13,6,19,9,3,4,3,8,,,4,,8,7,6,,,64,3,,1,,207,8,42,7,3,,,,,,,3,,,,
浮穴,615,265,350,,1,,7,14,,4,3,15,8,8,10,8,6,,,8,3,1,,7,,2,39,,,,,8,105,78,11,,,,1,,3,,,,,,
石井,4902,1966,2936,11,22,20,146,192,46,46,90,143,48,78,50,26,7,11,6,44,16,11,7,165,1,,211,17,,9,,54,125,1270,29,4,,,5,2,9,5,9,,,,1
荏原,335,152,183,,2,1,10,3,5,1,1,8,6,3,1,2,1,,,3,1,2,3,4,,,24,,,,,3,18,26,48,5,,,,,2,,,,,,
坂本,69,31,38,,1,,1,1,,1,,1,2,1,,,,,,,2,,,1,,,2,,,,,,9,4,1,11,,,,,,,,,,,
浅海,37,9,28,1,,,,,,2,1,,4,,,,,,,,,1,5,3,,,,,,,,,,,,,5,4,1,,1,,,,,,
立岩,17,8,9,,,,,,,,,1,2,1,,,,,,1,,,2,,,,,,,,,,,,,,,1,,,,1,,,,,
難波,94,35,59,,,,,1,1,3,1,1,1,2,,,,,,,1,3,5,,,,,2,,,,,,5,,,,3,4,,18,4,4,,,,
正岡,66,35,31,,1,2,1,,,1,1,1,1,,,,,,,3,2,1,1,,,,2,,,,1,1,,,,,,,,2,5,5,,,,,
北条,469,159,310,1,1,,2,11,8,7,12,3,6,1,4,,1,,,9,11,15,18,4,,,4,,,3,1,9,1,9,2,,3,9,11,4,124,11,5,,,,
河野,232,79,153,,,,7,3,1,,1,1,3,2,2,,2,,1,7,16,9,9,6,,,1,3,,,,2,1,7,1,,,,4,3,24,28,9,,,,
粟井,272,86,186,,,2,3,6,6,5,5,3,1,1,2,1,3,2,6,4,7,18,7,3,,,3,5,,,,,1,3,3,,1,,,,11,18,55,,1,,
睦野,4,3,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
東中島,88,18,70,,,1,3,7,,1,2,1,1,3,1,,5,,,10,4,5,,4,,,,,,1,,,1,2,,,,,,1,,,,,14,2,1
西中島,24,7,17,,,,,,,,3,,5,2,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,2,2,
神和,10,3,7,,,,,,,1,1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,
