cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
,332634094#0,1028570790#2,-31624134#0,156938702#2,680508524,97671442
,209215787#1,-184580019#0,-34951880#0,95396840#1,-47118451#1,157296623#1
,396771661#0,-170624720#1,874155675#0,-90636869#3,-47118451#0,198900384#7
,-562113160,44884666#3,46983928#1,157293003#1,1124642424#1,97671458
,-562112859#1,-170624714,264017864#0,31046903#0,47118452#1,179260411#1
,743545405#0,1108576327,-92206649#0,95282587,1237946797,215959964#4
,1166015106#2,46875475#0,174757582#3,-680762193#1,1124642428#2,97671423#0
,265010588#0,170624681#0,263881214#3,95396821#1,-55423010,342481196
,266086974#0,638577587,41818367#1,368086832#8,-47118451#2,135175652#1
,-44838841#0,1028570790#1,-203035368,94094796#3,-680508547#0,157296623#2
,-44883380#0,638577586,376037100,682712369#0,1124642424#0,97671355#0
,1028258366,-170624687,1244284990,95396776#1,59255423#0,1245989824#0
,44883357#1,23766689#5,1057181620#1,273211053#3,-365706989,179260411#2
,44838405#3,-368074416,139506064#0,35216007#1,,24061029#3
,-577567019,170624726#1,1040865313#1,38790699#2,,95274372#4
,1165717962,45018838#1,264115338,95396844#1,,97685779#1
,257239012#1,-44884834#0,139506059#0,94094885#0,,198900396#4
,257239012#2,170624693,90636522,314205671#0,,-172598552#1
,-45172804#1,170624726#2,874155679#6,682699860,,157292833#15
,-45172806#2,44884665#3,34951902#1,254327780#1,,97671461#2
,-680781428#2,-166899880#0,379075314#0,95396823#2,,48037790#2
,-680781427#2,170624689,42294756#0,-35216239#3,,97671484
,199152209#2,-368083795#0,229875718,-31046405,,74314558#0
,760589787#0,44884985#0,-181579915,-90795036#0,,97671386#2
,760589787#0-AddedOffRampEdge,-172627210#0,41969258#1,368086832#4,,178988162#0
,354858485#0,129219189,587793732,492041982,,525291477
,1265766813#0,376769524#1,537438903#4,1051315753#2,,23488888#1
,680781428#0,-44884669#1,254304956,-157238666#2,,1105285853
,-680781428#4,376769524#0,90636499#4,438405583#2,,46151739#9
,-168573481#1,44884671#1,263956790#0,94094802,,-92223190#0
,679785216#4,172627212,181579868#10,228056318,,95274345#0
,597045663#1,170624701,1298032331#0,667863953#0,,680788591
,171300272#1,129219190,-263956788#1,160732454#0,,97671338#0
,-350217575#5,368074414#0,175987706#0,1126340240,,97671387#3
,-429714228,-44884669#0,93325455,273211082#2,,-46151215#0
,23489088#0,-170624690#0,51937095,265176187#2,,378279504
,257239020#1,44884667#3,156643842#4-AddedOffRampEdge,368086828#7,,199152223#0
,-45172804#4,-167023144#1,229875719#3,1126340241#1,,48037790#0
,45172804#5,44884666#2,54690005#0,264109548#1,,40969586#3
,257357816,44884665#1,128715078#0,-273211103#1,,97671401#1
,44955974,-184580019#1,-537438903#6,95282530#1,,97671427#0
,-131025954#3,23766689#1,93325433#1,95396825#6,,680782188#1
,597045662,1028573261#2,54690000,93713546#2,,172598637#3
,257239019#1,44884666#1,93325453#2,993551535#0,,97671449#0
,285664494#1,-1028570786#0,264448295#0,1126340243#2,,680782195
,296689963#0,44884665#2,51937092#2,35215988,,-97671337#1
,23488561#4,-1028570786#4,379075320,94094852#2,,69963033#2
,23488561#5,170624731#4,174757582#2,95396785#4,,-525291476
,30842114#0,368074418#2,264021276#1,-95282587,,1085022610
,102126349#0,-1028570786#3,93325440,202905133,,196380150#3
,44884664#0,1028573262#0,-263866527#0,-157214540#1,,680789275
,199152209#0,44884666#0,229875719#2,47418307#0,,245069170#3
,-265010620#1,44884667#1,264019966#0,95282524#1,,97671343#6
,4853038#0,1028572143#1,156643842#1,93713532,,-680782191#0
,-31237829#2,1028570789#1,92204268#2,-95396821#1,,4848943#0
,-31237829#3,-1241354856,92204258#0,682712366#1,,24061110#0
,-680781712,-23288368#1,263956788#4,46151433#0,,1085022603
,-680781713,170624697,174757591#0,120419639#1,,-95274349#0
,-680781420,44884670#2,263936851#2,90636496#0,,97671475#0
,45172605#2,129219187#0,44887721#3,-95396776#1,,24061029#8
,46148745#0,1028570786#4,93470027#1,969494639#1-AddedOffRampEdge,,1245764636#2
,-257239012#2,-1028573261#1,229875719#0,1126340244#0,,680781435#0
,44883385,368083795#2,-51937090,160732454#5,,691145247
,-46148742#1,367851534,958539562#0,273211141#3,,680782191#1
,46148742#1,-44884988#0,-93325431,1051315751#5,,1031976632#1
,667959153,170624694,264448295#3,95396825#0,,1085022605#0
,45018427,-368083795#1,-186251728#0,31046903#1,,97671397#5
,44883381#0,-44884666#3,263866527#1,95396825#1,,46151742
,4853039#1,-44884834#3,41519941#0,31047009#1,,1177591510
,24821311#2,170624688#1,-31624221,273211087#2,,-492442417#1
,131025939#0,368074417#0,-264017864#0,31047009#3,,857738564
,-131025939#1,1028570789#0,874155676#4,94094831#1,,1245147131
,820360602,46875473#1,92204278#2,38790699#3,,97671445#1
,-24372991#2,1028572154#0,-376037100,-492041982,,-680782188#2
,24372991#2,170624720#0,874155676#0,368086828#2,,95274324
,44883349,170624720#1,537438903#8,-680760288#0,,1245989822#0
,44883013#1,-44884670#0,1298032332#2,95396756#2,,652152437
,568498789-AddedOffRampEdge,170624723#0,156643842#2,265176187#1,,74314553
,44838841#3,-44884665#3,263881214#2,21910839#1,,97671343#0
,44838841#2,-170624689,89423682#0,682712367#0,,97685779#0
,-44883357#0,-376769524#1,92204257,368086832#2,,74314562#2
,44883356,1028570786#6,128715110#0,264109548#1-AddedOffRampEdge,,355240125#1
,-23704749#0,44884830#2,-850032932#1,438405583#5,,1055857394#1
,354858504#0,170624691#4,203035367,157279300,,-60659454#0
,45173875#0,-376769524#0,844460384,751045577#1,,-968060908
,44883348,172627211,263865426,-93713541,,97671475#1
,-22823721#7,1028572142,-263865428#0,47418248#0,,46151426#2
,-22918541#5,44884911#0,-537438903#10,-993551535#1,,273211156#2
,131156049#2,368074416,42294756#2,203035354#5,,97671337#3
,131156049#1,-376769524#2,23579333,94094850#0,,24061029#2
,131156057#1,44884667#2,203035385#1-AddedOnRampEdge,156938702#0,,97671436
,46149027#0,170624691#5,156643284#3,47418327#1,,97685742#0
,285664452,1028573261#3,-92206649#1,-1031963661,,97671411#0
,173954118,368083795#0,203035369,94094815#0,,1031976629#4
,-149136359,368074418#1,93470052#0,35216007#4,,178988162#8
,-44838842#1,44884985#2,-537438903#4,264448651#1,,97671486#0
,-46148743#1,-44884667#3,186251728#1,31046679,,97671394#2
,131156025#0,44884669#1,33637368,94094850#2,,1105285858#0
,257357812#3,-44884666#2,-1143901798,95396785#1,,478293894#0
,209210751#0,1028572141,264114583,-368086836,,1055857394#2
,131156028#1-AddedOnRampEdge,45018813#0,264114580,429875583#0,,-680782193#2
,242897858,44884911#2,379075344#0,94094868#0,,-97671442
,-580847350#0,-1028573261#2,175994177#1,264448294,,-667962682#0
,-580847356,-44884670#1,263956790#4,38790699#1,,680782188#3
,220547267#0,45018838#2,-86867130#0,95396844#4,,-355240125#0
,101134277#2,184580017,42294744#3,-47418307#0,,-97685724
,101134277#3,44884668#0,33637556#1,-95282524#1,,1105285858#1
,679785216#6,-44884666#1,51937093#0,95396840#2,,273211156#4
,44883353#0,170624681#3,-231879072#2,1013421395#2,,95274349#2
,623362978#0,170624691#3,-850032932#0,32122316#0,,97685742#2
,-350217575#2,-170624690#1,262051128#2,681547930#0,,1245147141
,350217575#2,-44884665#2,41519941#1,-95396802,,74314562#1
,651677177,170624690#2,145569058#8,1096310476#0,,-24061029#0
,1123097890,1028570786#2,44887720#4,1297669678,,1284334995#1
,44838840,-44884666#0,843126657#0,90795019,,97671451#2
,304919603#1,-44884667#1,788084211#0,203035354#4-AddedOffRampEdge,,97671486#2
,-44838405#2,368074414#1,124081177#0,35216007#7,,4848943#3
,-44838405#3,170624690#1,-92204268#2,273211082#0,,157292833#6
,265010598#0,1028570786#0,264115339,1297669677,,172598637#1
,265010598#2,-170624725,264019966#2,389636322#0,,97671424#3
,-45172805#1,-1028570785#2,263881214#4,21910839#0,,97671467
,-45172604,198929896#0,-213738419,95396799#1,,97685645#3
,680781425#3,1028570786#3,48780822#1,33625902#1,,95274385#6
,350217575#5,172627267#1,874155679#2,772804652#3,,856631371#16
,-746064101,44884838#0,-51771205#1,31046766#1,,-46151739#9
,23704718#0,198929904,41818367#3,265176670#3,,1085022611#2
,23704718#1,-368083795#2,-537438903#2,49680676#1,,-95274345#0
,645224082#0,1108576328,-89423681#0,95396790,,680782192#0
,651677178#1,170624692#2,-263866527#1,265176187#5,,46151739#2
,679785216#1,1241354856,-175994175#0,95396756#0,,269150840#2
,45173868#0,170624691#1,22730620#2,368086828#1,,264298077#6
,651637969,198929898#0,682699851#2,47418327#0,,97671480#1
,266086999,1028570792#0,175994174,47416767#2,,157292833#0
,-261514199#0,368083796,-175994177#0,1051315751#3,,95274384#2
,-45172606#0,184580013,33625073#5,264451390#1,,97685747#3
,209210757#0,23766689#4,174757582#0,35216239#1,,163198815#5
,-680781422,44884668#1,34951700,368086015#4,,273211156#3
,-45172605#2,-368074417#0,-537438903#9,510157963,,-46151739#7
,-680781424,172627267#2,376098682#0,368086832#9,,-46151739#10
,45017437,-46875473#1,219973542#0,667863954#2,,273211156#0
,-45172806#0,1028570786#1,33625073#0,682261299#1,,-680782188#1
,45172802#1,32204060#0,35216848#1,-157214540#2,,97671393
,-1268288169,-170624720#0,228056324#4,157238666#2,,269150842#5
,1268288170#1,1028572143#0,51770989,95396833#0,,680760292#0
,577567024,44884834#3,89423682#1,203035354#4,,1031963664#2
,23704726#3,-1028570786#6,1143901797#1,157279313,,97671331#1
,257357812#2,44884829#3,139505519#0,95396801#0,,46151739#0
,319195391,45018812,682420451#0,667863954#1,,691144012
,45172807#1,-1028572142,34951880#0,47418327#2,,198900392#0
,45172804#1,-44884911#0,22730620#2-AddedOnRampEdge,1137748894#0,,95274398#0
,-23488561#5,-44884667#2,92206649#0,95396838#2,,-680789275
,46149023#1,44884670#0,51937092#4,31046766#0,,-245069170#3
,680781429#0,1028570792#2,-186251728#1,32122316#1,,97671449#1
,680781427#1,170624727#1,1143901797#0,90795012#0,,269150842#0
,-31283076#0,-172627201,263956790#2,90795036#1,,97671452#0
,1166015105,-1028573261#3,537438905#0,368086015#3,,46151215#1
,45173874#0,-368074418#1,203035363,1051315749#0,,1245764640#2
,131252712#1,172627267#4,51937092#5,314205670#2-AddedOffRampEdge,,1085022602
,355202502,368074417#1,-175994177#1,1057067192,,95274374#1
,580847350#0,1028570790#3,41818367#0,1126340245#0,,-680781435#1
,-285677617#3,-1028572141,263955768#1,90795030,,-680782196
,-285677617#1,1028574804,-93470052#1,273211141#2,,-680782191#1
,-667867181,1028570783#0,92204268#1,95396844#3,,95274385#9
,511081976#1,376769524#2,958539560#2,95396833#1,,1245147132
,-131025971#1,-368083794,682420451#2,-95396849,,-355240125#4
,131025971#1,-44884911#2,264112784,264448291,,-968060906#1
,131025957#4,-184580017,174757582#5,90837300#0,,-680781436
,863546409#0,-44884668#0,572507450,47416767#0,,135175652#0
,-863546409#1,-170624690#2,93325426#2,31046466#0,,-857738564
,24372990#0,166899880#1,-93470027#0,94094830#0,,760779955#0
,680781423,-1028570786#2,162538295#0,156938702#3,,74314549#0
,-257239012#1,-1028573264#1,24461574#3,156938658,,1245764632#1
,45173871-AddedOffRampEdge,46876504#2,33627357#1,157214540#1,,97671480#0
,584188117,44884830#3,46983934#0,95396825#2,,97671476#5
,-717183322,44884830#1,264021276#0,95282567,,69963041
,-717183325,44884670#1,-124081177#1,156938703#5,,-24061029#5
,171300273#0,-368074414#1,-682699857#2,-680760284,,680782188#5
,149851229#0,44884667#0,51937091#0,94094852#1,,-667863963
,257239016,-170624697,90790948,47418307#2,,1139284719#0
,257239010#1,198929902,139506064#1,-95282564#1,,95274362#0
,335539638,44884985#3,264448295#6,95396785#3,,97685747#2
,44883009,441624830,89043373#2,47418248#5,,1055857395#2
,45173871,170624688#3,44887720#1,95396838#0,,-355240125#1
,1027009173,44884834#2,92204285#3,1137747563,,97671426#2
,363687082#1,1028570785#2,92206679,-47416767#4,,95274349#5
,257357802#0,-368083796,860088218,95282542,,1300917096
,597045663#0,-184580013,51937092#3,95396843#4,,23489017#2
,-173954130#0,44884671#0,93325450#1,94094853,,1085022611#0
,-44838841#1,-170624724#1,958539563#0,-157214540#0,,242897856
,-319196860#1,44884665#5,51937093#1,680760288#0,,27695601#2
,-27241668#1,-44884668#1,90636499#0,1051315747#0,,97685693#1
,1029279501,209210755#4,184577945,265176188,,215959964#1
,170641388#2,368074418#0,41519891#1,368086839,,680782188#8
,209210744#1,-44884668#2,-51770989,95396838#4,,273211091#4
,304919605#0,,93325431,95396843#3,,-24061029#2
,332634091#8,,34951902#0,31047273#6,,97671475#2
,45174138#1,,92403764#1,94094801#1,,-95274349#3
,45177679-AddedOnRampEdge,,186251728#0,-31047273#5,,74314558#2
,45177679,,174757608,727402396#0,,97671397#2
,-45172807#1,,31624221,667863954#0,,1245989820#0
,1126633897,,41818367#5,94094885#1,,264298077#0
,1027009174,,41969258#0,94094815#1,,676291216#0
,-285664438,,-263935797#4,-156942563#0,,667962682#1
,562112859#0,,264112785,31047009#0,,24061029#4
,-680781430#2,,263936851#0,95396843#1,,95274385#2
,23488564#2,,89043374#1,264114941#2,,97671474#2
,131156019,,958539570#0,120419639#0,,-60659454#1
,388577165#0,,35542051,93713541,,97671376#7
,257357822#2,,850032932#1,368086828#0,,342481198#1
,27241668#3,,90636499#5,-90795036#2,,-95274349#2
,46149611#0,,-92204268#1,90795012#2,,1031963663#4
,580847354,,263865428#0,682261299#0,,95274349#1
,131025941#1,,537438903#10,273211087#0,,74314551
,-131025941#2,,263941941,95396765#3,,187797932
,-46149189,,-263865429#0,95282564#0,,-680781433#0
,45172807#2,,92206649#1,314205670#2,,92223199#0
,45172806#0,,34951737,94094868#7,,178988162#3
,45172802#2,,44887721#0,438405583#0,,198900396#0
,23488562#4,,263956789#0,667863959#1,,95274308#0
,1268288172,,-203035353,1031963661,,1055857395#0
,-680781714,,-175994173#1,-31047273#4,,-172598552#3
,265010604,,33625073#4,368086836,,97671427#1
,-265010621,,-181579868#1,-47416767#1,,-355240125#2
,-228633420#1,,263956789#2,156942563#1,,97671478#1
,24803931#0,,874155676#1,95396838#1,,680781433#1
,304727991#0,,264019962,1051315751#1,,97671397#8
,355202503,,89043374#0,157292823#0,,152413923#1
,22918541#3,,1143901798,95396825#3,,199152219
,22918541#1,,1196926577#3,273211141#4,,187643891
,257239021#6,,86867130#0,90636496#4,,92223188
,-257239012#3,,92403837,157238666#1,,680781433#2
,27241673,,33637556#0,23443405#0-AddedOffRampEdge,,-680782193#1
,760588360#1-AddedOnRampEdge,,89423678#2,47418248#1,,135175652#2
,680781713,,-51771205#0,583085357,,856631371#6
,-238836842,,145569102#4,94094885#2,,-680781432#1
,45173876#0,,92204266#0,-254327780#0,,1133614450#0
,-350217575#4,,231879072#0,95396844#2,,97671343#4
,353940879#2,,51937091#1,33625702,,1245764640#1
,45170907,,92204268#0,682712367#2,,46151426#3
,46149189,,850032932#0,94094868#1,,264298077#4
,355202491#1,,231876387#0-AddedOffRampEdge,1126127670,,46151426#5
,-131025959#1,,48780823,265176187#3,,1139252860
,1027009172#0,,-1155226161,95396802,,95274348#0
,257239012#3,,176046283#0,680762193#0,,269150842#3
,-44883355#0,,31887177#0,94094885#4,,172598552#1
,44883354#0,,181579868#4,94094885#5,,273211156#7
,-457308034,,92204277,157292782#2,,95274384#1
,-23488562#2,,228056324#2,47418307#1,,-261674288
,285677614#1,,-184577945,1051315751#2,,-24061029#7
,-24372990#1,,213738419,368086015#2,,-1245147132
,879498552#5,,682703711#1,-273211051,,680782189#0
,-45172605#0,,379075311,157214559#0,,92223190#0
,45172605#0,,51771205#1,157296638,,1031963665#0
,45172806#2,,537438903#2,-31047273#6,,40969592
,45172805#2,,35216758,95396765#1,,215959964#3
,333682052,,92204285#1,751045577#0,,46151215#0
,266086974#1,,-254304959,95396765#2,,215959965#0
,257239013#3,,33627592,265176670#5,,97685711#0
,388577164#1,,89423681#0,94094793#1,,1245764635#1
,388577159#0,,264114579#2,243206484#0,,31046486#2
,680781424,,174757582#7,381697487#12,,-680782188#5
,-131025961#1,,175994175#0,1126340246,,691145248
,46149194#1,,-682703707,264448292#1,,97671337#1
,-46149195,,156643842#5,95282530#0,,187797935#1
,-609968226,,682420451#5,-89825913#0,,273211156#9
,-1029279500,,181579868#2,-95282564#0,,1085022605#3
,-1029279501,,47982503#0,157214540#2,,97671366#0
,-22823721#11,,958539570#3,273211087#1,,40969573
,-680781429#1,,-175994175#1,273211103#0,,97671343#3
,131025950#0,,175994177#0,94094815#2,,-680781432#2
,23605011,,203035385#0,228056321#0,,97685645#1
,131156068,,175994167,202903722#0,,95277521
,261514199#0,,-263941940#0,95396844#0,,-95274398#3
,-930438154,,-263936851#1,228056321#1,,-95274398#2
,680781420,,42294756#1,95396840#0,,-492442417#0
,1028619482,,32122364,-156942563#1,,-95274334#0
,319196856#0,,229875719#1,264451390#0,,97671424#0
,261514198#0,,228056328#0,368086828#11,,-92223190#1
,-285664427,,145569058#2,-153190946,,95274334#1
,285664447,,92204275,228056321#3,,1284334995#4
,-149136361#0,,263865429#1,94094793#0,,-667867164
,-149136361#1,,254304963#1,1126340245#2,,97671451#0
,657938694,,89423682#2,94094796#2,,856631371#7
,680781425#1,,92204258#3,-157238666#1,,680782188#2
,-24372991#4,,-263881209,46151433#1,,240388169#5
,680781421,,42294744#2,-31047273#1,,-1055857397#0
,1028619480#0,,874155679#8,265176187#7,,97671474#1
,-24372978#5,,44887721#2,-583085357,,97685645#2
,-24372978#3,,-92204249,1137748894#2,,97671376#3
,-46149605,,145569102#8,667863951,,-95274349#1
,-46149609,,263935797#5,35216007#3,,97671342#0
,44883382,,92204285#2,1051315751#0,,97685761#0
,44883381#2,,341182776,95396849,,60659454#0
,46149194#0,,93325450#2,-680762193#0,,-187797932
,46149196,,-92403837,368086843,,-95274349#7
,319196860#1,,-89423678#2,202903724#0,,196380150#4
,986165964,,93470052#1,95396793#1,,968060908
,810346011#1,,108891397#1,35216007#12,,680788596
,1028619486#0,,874155681#2,160732454#3,,97685757
,131025971#0,,-92204268#0,-47418307#1,,245069170#1
,46149028#2,,-48780823,368085648#2,,4848945#2
,387312971#0,,1244284993,35216007#14,,-1055853354
,269150822,,682420451#4,438405583#1,,-229878534
,44955976#4,,93470027#0,264109975,,856631371#1
,44955970#2,,34951691,156938693,,157292833#4
,-332634091#0,,156643284#5,1051315756#0,,-680781437#1
,332634091#0,,264114581#0,680760284,,273211091#2
,-846333253,,22989309#0,682699859,,23489017#0
,846333253,,1244284991,1096310481#0,,680782193#2
,170624692#4,,35216114#2,438405583#3,,680782193#4
,46148743#1,,-181579868#4,95282564#1,,968060906#0
,-332634091#1,,51937091#2,1096310475#0,,-1133614450#1
,199152231,,33625073#1,368086844#1,,1085022607
,22823721#10,,-92204277,429875583#1,,667962682#0
,-22823721#9,,93325433#0,667863953#1,,355240125#0
,238836842,,379075282,368086832#7,,-119569977
