Hamming Distance,Algorithm,Time (s),Memory (GB),memo
11,ReconfigZDD,0.14145588874816895,0.30857086181640625,
11,ReconfigZDD,0.1157221794128418,0.3101654052734375,
11,ReconfigZDD,0.11456847190856934,0.308197021484375,
11,ReconfigZDD,0.14899015426635742,0.309539794921875,
11,ReconfigZDD,0.11745953559875488,0.31029510498046875,
12,ReconfigZDD,0.15529727935791016,0.3095817565917969,
12,ReconfigZDD,0.13875985145568848,0.3070869445800781,
12,ReconfigZDD,0.14611172676086426,0.3097953796386719,
12,ReconfigZDD,0.13393664360046387,0.3090629577636719,
12,ReconfigZDD,0.11740589141845703,0.3095550537109375,
12,ReconfigZDD,0.14102649688720703,0.31018829345703125,
12,ReconfigZDD,0.1491107940673828,0.3084068298339844,
12,ReconfigZDD,0.1338636875152588,0.3076324462890625,
12,ReconfigZDD,0.1300830841064453,0.30825042724609375,
12,ReconfigZDD,0.13275957107543945,0.3096580505371094,
