Hamming Distance,Algorithm,Time (s),Memory (GB),memo
9,ReconfigZDD,0.1132826805114746,0.3071022033691406,
9,ReconfigZDD,0.1296885013580322,0.3069076538085937,
9,ReconfigZDD,0.1248056888580322,0.3063735961914062,
9,ReconfigZDD,0.1283798217773437,0.306610107421875,
9,ReconfigZDD,0.1058187484741211,0.3066749572753906,
9,ReconfigZDD,0.1137683391571044,0.3062667846679687,
9,ReconfigZDD,0.0958619117736816,0.30615234375,
9,ReconfigZDD,0.1172757148742675,0.3071937561035156,
10,ReconfigZDD,0.1291320323944091,0.3070793151855469,
10,ReconfigZDD,0.1295697689056396,0.3072280883789062,
10,ReconfigZDD,0.1404178142547607,0.3062362670898437,
10,ReconfigZDD,0.1300113201141357,0.3078384399414062,
10,ReconfigZDD,0.122049331665039,0.3073501586914062,
10,ReconfigZDD,0.1090903282165527,0.3068313598632812,
10,ReconfigZDD,0.1173300743103027,0.3048934936523437,
10,ReconfigZDD,0.1130838394165039,0.3067741394042969,
10,ReconfigZDD,0.1288962364196777,0.3092193603515625,
10,ReconfigZDD,0.1094694137573242,0.3078651428222656,
11,ReconfigZDD,0.1368143558502197,0.3070220947265625,
11,ReconfigZDD,0.1148715019226074,0.3090095520019531,
11,ReconfigZDD,0.134286880493164,0.3089485168457031,
11,ReconfigZDD,0.1299414634704589,0.3099555969238281,
11,ReconfigZDD,0.1500778198242187,0.3098335266113281,
11,ReconfigZDD,0.1414558887481689,0.3085708618164062,
11,ReconfigZDD,0.1157221794128418,0.3101654052734375,
11,ReconfigZDD,0.1145684719085693,0.308197021484375,
11,ReconfigZDD,0.1489901542663574,0.309539794921875,
11,ReconfigZDD,0.1174595355987548,0.3102951049804687,
12,ReconfigZDD,0.1552972793579101,0.3095817565917969,
12,ReconfigZDD,0.1387598514556884,0.3070869445800781,
12,ReconfigZDD,0.1461117267608642,0.3097953796386719,
12,ReconfigZDD,0.1339366436004638,0.3090629577636719,
12,ReconfigZDD,0.117405891418457,0.3095550537109375,
12,ReconfigZDD,0.141026496887207,0.3101882934570312,
12,ReconfigZDD,0.1491107940673828,0.3084068298339844,
12,ReconfigZDD,0.1338636875152588,0.3076324462890625,
12,ReconfigZDD,0.1300830841064453,0.3082504272460937,
12,ReconfigZDD,0.1327595710754394,0.3096580505371094,
1,ReconfigBFS,0.0474779605865478,0.2562828063964844,
1,ReconfigBFS,0.0517868995666503,0.2565956115722656,
1,ReconfigBFS,0.0469346046447753,0.2561378479003906,
1,ReconfigBFS,0.0524899959564209,0.2554969787597656,
1,ReconfigBFS,0.0499520301818847,,
1,ReconfigBFS,0.0459368228912353,,
1,ReconfigBFS,0.0462124347686767,,
1,ReconfigBFS,0.0476267337799072,,
1,ReconfigBFS,0.0466768741607666,,
1,ReconfigBFS,0.0425424575805664,,
2,ReconfigBFS,0.253159761428833,0.2590141296386719,
2,ReconfigBFS,0.1011738777160644,0.2568702697753906,
2,ReconfigBFS,0.1328580379486084,0.2569732666015625,
2,ReconfigBFS,0.1426014900207519,0.2572593688964844,
2,ReconfigBFS,0.1818568706512451,0.2580718994140625,
2,ReconfigBFS,0.1784803867340088,0.2577934265136719,
2,ReconfigBFS,0.1381182670593261,0.258392333984375,
2,ReconfigBFS,0.0696165561676025,0.2569122314453125,
2,ReconfigBFS,0.174638032913208,0.2584571838378906,
2,ReconfigBFS,0.203848123550415,0.2581024169921875,
3,ReconfigBFS,1.637383222579956,0.2697677612304687,
3,ReconfigBFS,2.555875778198242,0.2756385803222656,
3,ReconfigBFS,2.2644667625427246,0.272918701171875,
3,ReconfigBFS,0.9833667278289796,0.2654571533203125,
3,ReconfigBFS,0.4014925956726074,0.2602119445800781,
3,ReconfigBFS,1.0215225219726562,0.2665977478027344,
3,ReconfigBFS,2.194685220718384,0.2704963684082031,
3,ReconfigBFS,2.076304197311402,0.2709999084472656,
3,ReconfigBFS,0.600285530090332,0.2630462646484375,
3,ReconfigBFS,0.949371337890625,0.2666549682617187,
4,ReconfigBFS,16.35114049911499,0.3384132385253906,
4,ReconfigBFS,9.774153470993042,0.3075942993164062,
4,ReconfigBFS,9.745203495025637,0.3091163635253906,
4,ReconfigBFS,14.413684368133543,0.3236312866210937,
4,ReconfigBFS,11.180051565170288,0.3086471557617187,
4,ReconfigBFS,4.6277241706848145,0.2810440063476562,
4,ReconfigBFS,19.259928941726685,0.3551406860351562,
4,ReconfigBFS,12.329648971557615,0.3218307495117187,
4,ReconfigBFS,14.663377285003662,0.3268623352050781,
4,ReconfigBFS,9.01348614692688,0.3059806823730469,
5,ReconfigBFS,81.4943516254425,0.5760993957519531,
5,ReconfigBFS,125.9959201812744,0.7143669128417969,
5,ReconfigBFS,54.97508716583252,0.467193603515625,
5,ReconfigBFS,177.33262038230896,0.917510986328125,
5,ReconfigBFS,92.66781759262084,0.6120834350585938,
5,ReconfigBFS,23.09138345718384,0.3510665893554687,
5,ReconfigBFS,113.56873941421507,0.70513916015625,
5,ReconfigBFS,134.6023669242859,0.7432899475097656,
5,ReconfigBFS,105.36575722694396,0.6547164916992188,
5,ReconfigBFS,78.05631971359253,0.5447616577148438,
6,ReconfigBFS,664.7107222080231,2.5153541564941406,
6,ReconfigBFS,384.2278761863709,1.5572776794433594,
6,ReconfigBFS,339.3677616119385,1.4390602111816406,
6,ReconfigBFS,231.4804072380066,1.048828125,
6,ReconfigBFS,156.92877197265625,0.7941513061523438,
6,ReconfigBFS,143.57318139076233,0.7703437805175781,
6,ReconfigBFS,204.0696246623993,0.954833984375,
6,ReconfigBFS,165.30461382865906,0.8916587829589844,
6,ReconfigBFS,251.45991921424863,1.0871620178222656,
6,ReconfigBFS,459.2167270183563,1.8404808044433592,
7,ReconfigBFS,1664.0937066078186,4.7021636962890625,
7,ReconfigBFS,1091.6387813091278,3.2980880737304688,
7,ReconfigBFS,1375.478511095047,3.8768386840820312,
7,ReconfigBFS,983.0007200241088,2.7546958923339844,
7,ReconfigBFS,2749.1539540290833,6.464439392089844,
7,ReconfigBFS,1907.8370962142944,5.029060363769531,
7,ReconfigBFS,3433.7982983589172,8.604904174804688,
7,ReconfigBFS,1674.829521894455,4.689029693603516,
8,ReconfigBFS,,,Timeout
8,ReconfigBFS,,,Timeout
8,ReconfigBFS,,,Timeout
8,ReconfigBFS,,,Timeout
8,ReconfigBFS,,,Timeout
8,ReconfigBFS,,,Timeout
8,ReconfigBFS,,,Timeout
8,ReconfigBFS,,,Timeout
8,ReconfigBFS,,,Timeout
8,ReconfigBFS,,,Timeout
9,ReconfigBFS,,,Timeout
9,ReconfigBFS,,,Timeout
9,ReconfigBFS,,,Timeout
9,ReconfigBFS,,,Timeout
9,ReconfigBFS,,,Timeout
9,ReconfigBFS,,,Timeout
9,ReconfigBFS,,,Timeout
9,ReconfigBFS,,,Timeout
9,ReconfigBFS,,,Timeout
9,ReconfigBFS,,,Timeout
10,ReconfigBFS,,,Timeout
10,ReconfigBFS,,,Timeout
10,ReconfigBFS,,,Timeout
10,ReconfigBFS,,,Timeout
10,ReconfigBFS,,,Timeout
10,ReconfigBFS,,,Timeout
10,ReconfigBFS,,,Timeout
10,ReconfigBFS,,,Timeout
10,ReconfigBFS,,,Timeout
10,ReconfigBFS,,,Timeout
11,ReconfigBFS,,,Timeout
11,ReconfigBFS,,,Timeout
11,ReconfigBFS,,,Timeout
11,ReconfigBFS,,,Timeout
11,ReconfigBFS,,,Timeout
11,ReconfigBFS,,,Timeout
11,ReconfigBFS,,,Timeout
11,ReconfigBFS,,,Timeout
11,ReconfigBFS,,,Timeout
11,ReconfigBFS,,,Timeout
12,ReconfigBFS,,,Timeout
12,ReconfigBFS,,,Timeout
12,ReconfigBFS,,,Timeout
12,ReconfigBFS,,,Timeout
12,ReconfigBFS,,,Timeout
12,ReconfigBFS,,,Timeout
