Hamming Distance,Algorithm,Time (s),Memory (GB),memo
9,ReconfigDFS,,,Timeout
9,ReconfigDFS,,,Timeout
9,ReconfigDFS,,,Timeout
9,ReconfigDFS,,,Timeout
9,ReconfigDFS,,,Timeout
9,ReconfigDFS,,,Timeout
10,ReconfigDFS,,,Timeout
10,ReconfigDFS,,,Timeout
10,ReconfigDFS,,,Timeout
10,ReconfigDFS,,,Timeout
10,ReconfigDFS,,,Timeout
10,ReconfigDFS,,,Timeout
10,ReconfigDFS,,,Timeout
10,ReconfigDFS,,,Timeout
10,ReconfigDFS,,,Timeout
10,ReconfigDFS,,,Timeout
11,ReconfigDFS,,,Timeout
11,ReconfigDFS,,,Timeout
11,ReconfigDFS,,,Timeout
11,ReconfigDFS,,,Timeout
11,ReconfigDFS,,,Timeout
11,ReconfigDFS,,,Timeout
11,ReconfigDFS,,,Timeout
11,ReconfigDFS,,,Timeout
11,ReconfigDFS,,,Timeout
11,ReconfigDFS,,,Timeout
12,ReconfigDFS,,,Timeout
12,ReconfigDFS,,,Timeout
12,ReconfigDFS,,,Timeout
12,ReconfigDFS,,,Timeout
12,ReconfigDFS,,,Timeout
12,ReconfigDFS,,,Timeout
12,ReconfigDFS,,,Timeout
12,ReconfigDFS,,,Timeout
12,ReconfigDFS,,,Timeout
12,ReconfigDFS,,,Timeout
