_id,_index,location_number_ja,area_division_name_ja,sewer_supply_availability,city_code,residence_display_name_ja,side_road_name_ja,u_road_distance_to_nearest_station_name_ja,building_structure_name_ja,proximity_to_transportation_facilitites,regulations_use_category_name_ja,side_road_azimuth_name_ja,current_usage_status_of_surrounding_land_name_ja,front_road_name_ja,u_ground_hierarchy_ja,use_category_name_ja,gas_supply_availability,nearest_station_name_ja,front_road_width,u_underground_hierarchy_ja,year_on_year_change_rate,u_regulations_building_coverage_ratio_ja,water_supply_availability,u_cadastral_ja,point_id,front_road_pavement_condition,usage_category_name_ja,prefecture_code,regulations_forest_law_name_ja,regulations_park_law_name_ja,city_county_name_ja,front_road_azimuth_name_ja,target_year_name_ja,u_regulations_floor_area_ratio_ja,prefecture_name_ja,regulations_fireproof_name_ja,depth_ratio,u_current_years_price_ja,ward_town_village_name_ja,frontage_ratio,place_name_ja,land_price_type,usage_status_name_ja,regulations_altitude_district_name_ja,pause_flag,standard_lot_number_ja,last_years_price,location,shape,front_road_condition,side_road_condition,park_forest_law,lon,lat
NXFsd5cBxLgMoUYldFE0,bi007_land_prices_2021-2025_202506161527,中島大浦３０７５番１７,都市計画区域の定めのない区域,False,38201,,,170m,S（鉄骨造）,0.0,その他,,店舗、事務所、一般住宅等が混在する商業地域,市区町村道,2F,商業地,False,中島港,90.0,,-3.3,-(%),True,138(㎡),3523069,1,建物などの敷地,38,,,松山市,南,令和5年7月1日,-(%),愛媛県,,20.0,"17,700(円/㎡)",,10.0,松山,1,店舗,,0,松山5-25,18300.0,愛媛県松山市中島大浦３０７５番１７,(1.0：2.0),南　9.0m　市区町村道,,,132.62892723083496,33.97239743635794
CXNud5cBxLgMoUYlJBkU,bi007_land_prices_2021-2025_202506161527,中島大浦３０３９番２５,都市計画区域の定めのない区域,False,38201,,側道,250m,W（木造）,0.0,その他,北西,一般住宅等が密集する古くからの住宅地域,道路,2F,住宅地,False,中島港,26.0,,-4.4,-(%),True,144(㎡),3523066,1,建物などの敷地,38,,,松山市,南西,令和5年7月1日,-(%),愛媛県,,10.0,"15,100(円/㎡)",,12.0,松山,1,住宅,,0,松山-46,15800.0,愛媛県松山市中島大浦３０３９番２５,(1.2：1.0),南西　2.6m　道路,北西　側道,,132.6285195350647,33.97425699299308
mGpgd5cBxLgMoUYlx2SV,bi007_land_prices_2001-2010_202506161507,新浜町２１３１番４３,市街化区域,False,38201,新浜町７－１５,,450m,W（木造）,0.0,第一種住居地域,,,市区町村道,2F,住宅地,False,港山,40.0,,-0.8,60(%),True,200(㎡),3522998,1,建物などの敷地,38,,,松山市,南東,平成20年7月1日,200(%),愛媛県,,10.0,"73,400(円/㎡)",,10.0,松山,1,住宅,,0,松山-33,74000.0,愛媛県松山市新浜町２１３１番４３,(1.0：1.0),南東　4.0m　市区町村道,,,132.71414637565613,33.872116991463145
ampgd5cBxLgMoUYlx2WV,bi007_land_prices_2001-2010_202506161507,高浜町１丁目乙６０番３８７,市街化区域,False,38201,,,580m,S（鉄骨造）,0.0,第一種住居地域,,,私道,2F,住宅地,False,高浜,40.0,,-1.1,60(%),True,213(㎡),3523000,1,建物などの敷地,38,,,松山市,西,平成20年7月1日,200(%),愛媛県,,20.0,"69,500(円/㎡)",,10.0,松山,1,住宅,,0,松山-35,70300.0,愛媛県松山市高浜町１丁目乙６０番３８７,(1.0：2.0),西　4.0m　私道,,,132.70204424858093,33.87872645429886
7mZdd5cBxLgMoUYlCYG3,bi007_land_prices_2001-2010_202506161507,高浜町１丁目乙６０番３８７,市街化区域,False,38201,,,580m,S（鉄骨造）,0.0,第一種住居地域,,,私道,2F,住宅地,False,高浜,40.0,,-2.2,60(%),True,213(㎡),3523000,1,建物などの敷地,38,,,松山市,西,平成21年7月1日,200(%),愛媛県,,20.0,"68,000(円/㎡)",,10.0,松山,1,住宅,,0,松山-35,69500.0,愛媛県松山市高浜町１丁目乙６０番３８７,(1.0：2.0),西　4.0m　私道,,,132.70204424858093,33.87872645429886
N2Zdd5cBxLgMoUYlEImz,bi007_land_prices_2001-2010_202506161507,新浜町２１３１番４３,市街化区域,False,38201,新浜町７－１５,,450m,W（木造）,0.0,第一種住居地域,,,市区町村道,2F,住宅地,False,港山,40.0,,-1.5,60(%),True,200(㎡),3522998,1,建物などの敷地,38,,,松山市,南東,平成21年7月1日,200(%),愛媛県,,10.0,"72,300(円/㎡)",,10.0,松山,1,住宅,,0,松山-33,73400.0,愛媛県松山市新浜町２１３１番４３,(1.0：1.0),南東　4.0m　市区町村道,,,132.71414637565613,33.872116991463145
rWlfd5cBxLgMoUYltE3h,bi007_land_prices_2001-2010_202506161507,新浜町２１３１番４３,市街化区域,False,38201,新浜町７－１５,,450m,W（木造）,0.0,第一種住居地域,,,市区町村道,2F,住宅地,False,港山,40.0,,-2.9,60(%),True,200(㎡),3522998,1,建物などの敷地,38,,,松山市,南東,平成22年7月1日,200(%),愛媛県,,10.0,"70,200(円/㎡)",,10.0,松山,1,住宅,,0,松山-33,72300.0,愛媛県松山市新浜町２１３１番４３,(1.0：1.0),南東　4.0m　市区町村道,,,132.71414637565613,33.872116991463145
rmlfd5cBxLgMoUYltE3h,bi007_land_prices_2001-2010_202506161507,高浜町１丁目乙６０番３８７,市街化区域,False,38201,,,580m,S（鉄骨造）,0.0,第一種住居地域,,,私道,2F,住宅地,False,高浜,40.0,,-2.4,60(%),True,213(㎡),3523000,1,建物などの敷地,38,,,松山市,西,平成22年7月1日,200(%),愛媛県,,20.0,"66,400(円/㎡)",,10.0,松山,1,住宅,,0,松山-35,68000.0,愛媛県松山市高浜町１丁目乙６０番３８７,(1.0：2.0),西　4.0m　私道,,,132.70204424858093,33.87872645429886
KXBqd5cBxLgMoUYlI3d1,bi007_land_prices_2011-2020_202506161517,新浜町２１３１番４３,市街化区域,False,38201,新浜町７－１５,,450m,W（木造）,0.0,第一種住居地域,,,市区町村道,2F,住宅地,False,港山,40.0,,-3.0,60(%),True,200(㎡),3522998,1,建物などの敷地,38,,,松山市,南東,平成23年7月1日,200(%),愛媛県,,10.0,"68,100(円/㎡)",,10.0,松山,1,住宅,,0,松山-33,70200.0,愛媛県松山市新浜町２１３１番４３,(1.0：1.0),南東　4.0m　市区町村道,,,132.71414637565613,33.872116991463145
KnBqd5cBxLgMoUYlI3d1,bi007_land_prices_2011-2020_202506161517,高浜町１丁目乙６０番３８７,市街化区域,False,38201,,,580m,LS（軽量鉄骨造）,0.0,第一種住居地域,,,私道,2F,住宅地,False,高浜,40.0,,-2.6,60(%),True,213(㎡),3523000,1,建物などの敷地,38,,,松山市,西,平成23年7月1日,200(%),愛媛県,,20.0,"64,700(円/㎡)",,10.0,松山,1,住宅,,0,松山-35,66400.0,愛媛県松山市高浜町１丁目乙６０番３８７,(1.0：2.0),西　4.0m　私道,,,132.70204424858093,33.87872645429886
