転出ゾーン,移動総数,市外,市内総数,番町,東雲,八坂,素鵞,雄郡,新玉,味酒,清水,桑原,道後,味生,生石,垣生,宮前,三津浜,高浜,久枝,潮見,和気,堀江,余土,由良,泊,久米,湯山,日浦,伊台,五明,小野,浮穴,石井,荏原,坂本,浅海,立岩,難波,正岡,北条,河野,粟井,睦野,東中島,西中島,神和
由良,17,7,10,,,,1,2,,1,,,,,,,,,,1,,3,,,,,,,,,,1,,1,,,,,,,,,,,,,
泊,26,3,23,,,,,,1,,,,,,1,,1,,2,1,,,,,9,7,,,,,,,,1,,,,,,,,,,,,,
久米,2691,1019,1672,8,42,13,73,39,21,25,28,118,32,31,26,8,8,3,17,29,9,14,4,35,,,672,15,,22,,121,44,164,25,5,,,1,1,11,3,,,2,2,1
湯山,457,185,272,9,1,4,16,12,4,10,12,34,10,1,4,,1,,1,5,16,6,2,3,,,16,71,,12,1,1,2,16,,,,,,,,1,,,1,,
日浦,19,4,15,,1,,,1,,1,4,1,1,1,,1,1,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,
伊台,239,104,135,,8,1,7,4,1,3,8,4,19,7,1,,1,,,7,10,2,2,,,,4,6,,18,,2,5,11,2,,,,,,1,1,,,,,
五明,27,7,20,,,,1,1,,1,,,,,,,,,,,,,,,,,4,1,,1,,2,,5,,,,,4,,,,,,,,
小野,1122,542,580,1,11,2,19,21,15,14,5,34,11,7,5,7,4,5,2,8,1,,4,11,,,90,6,,7,,222,8,50,6,,,,,,3,,1,,,,
浮穴,628,243,385,,1,4,11,21,2,5,2,20,2,5,1,2,3,1,,6,,3,2,17,,,38,,,2,,14,143,65,5,5,2,,,,3,,,,,,
石井,5510,2067,3443,13,44,30,198,160,46,65,60,97,96,84,67,31,20,7,13,48,24,27,12,226,,1,211,21,,37,,66,72,1607,29,13,,1,3,,3,1,4,,4,,2
荏原,483,291,192,1,2,4,14,10,4,4,2,3,9,5,7,2,,1,1,3,2,,1,7,,,12,,,1,1,6,11,35,40,,,,,,2,,2,,,,
坂本,81,35,46,3,,,4,1,,,3,2,1,3,1,,,,,1,,2,,1,,,1,,,,,1,1,12,5,3,,,,,,,1,,,,
浅海,44,21,23,,,,,2,,,1,,,,,,,,,,,,1,,,,3,,,,,,,,,,8,,,,5,,3,,,,
立岩,27,7,20,,,2,2,,,,,,,,,,,,1,1,,,1,,,,,,,1,,,,5,,,,,2,,4,,1,,,,
難波,100,44,56,,,,,1,1,1,,1,,1,,,2,,2,2,3,,2,,,,3,1,,,,,,4,,,,,10,,14,5,3,,,,
正岡,82,26,56,,,,2,3,2,,3,1,1,,,,,,1,5,,,4,1,,,1,,,,,1,1,2,,,,1,,10,9,2,6,,,,
北条,551,154,397,1,6,2,14,19,4,6,13,9,11,5,3,1,1,2,,14,16,1,10,16,,,3,1,,,,3,,10,,,1,,13,11,142,39,20,,,,
河野,238,76,162,,2,1,5,4,,5,6,9,2,3,3,1,1,,1,5,3,6,6,5,,,4,1,,3,,3,,6,1,,5,,5,1,19,34,12,,,,
粟井,303,93,210,,,1,1,4,3,7,10,8,,9,6,,1,7,2,9,3,4,21,6,,,2,,,,,2,1,4,,,,,4,,13,17,65,,,,
睦野,9,1,8,,,,,,,,,1,,1,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,3,,
東中島,107,21,86,,1,3,3,1,,5,15,1,,3,1,,3,,,2,1,,1,2,,,4,,,,,,1,3,,,,,,3,,,,,30,1,2
西中島,24,6,18,,,3,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,4,7,
神和,34,10,24,,,,1,1,,,1,2,,1,1,,2,1,4,1,,,,,,,,,,,,1,,,,,,,,,,,,,6,,2
