origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
5,2,73009.06731553099,999999,1,6,1
1,8,73010.92326753236,999999,3,4,1
5,6,73010.92326753236,1,1,6,1
1,6,73011.40603970585,999999,6,4,1
6,5,73011.40603970585,7,0,999999,1
6,2,73012.1132999915,3,999999,0,1
6,4,73012.1132999915,999999,6,1,1
6,3,73013.84663507927,999999,1,0,1
4,6,73015.78959778926,8,3,999999,1
5,2,73015.78959778926,5,999999,8,1
5,5,73015.78959778926,3,999999,5,1
1,3,73018.44089717924,1,999999,5,1
5,6,73018.44089717924,0,999999,5,1
8,8,73018.44089717924,3,999999,6,1
6,1,73025.45697910286,999999,3,2,1
5,1,73026.5463056499,6,7,6,1
1,1,73026.78304433504,999999,3,4,1
5,2,73026.78304433504,3,1,999999,1
5,3,73026.78304433504,4,999999,5,1
1,2,73028.3448886018,8,999999,0,1
5,2,73041.34095663475,999999,5,1,1
5,1,73044.64863218568,0,999999,3,1
5,3,73045.36155517914,999999,0,0,1
5,4,73045.36155517914,5,999999,6,1
1,5,73046.34754178175,5,2,999999,1
4,5,73046.34754178175,1,8,0,1
4,1,73047.31962559912,999999,0,2,1
6,6,73047.54037874979,999999,5,6,1
8,5,73047.54037874979,999999,3,8,1
5,5,73053.25532372101,999999,6,999999,1
5,7,73053.25532372101,999999,2,8,1
1,3,73058.96951978451,999999,5,6,1
5,0,73058.96951978451,999999,6,6,1
5,2,73058.96951978451,3,999999,8,1
8,6,73065.5022939006,999999,4,6,1
1,8,73068.86336695561,999999,5,2,1
4,8,73068.86336695561,5,5,999999,1
8,0,73074.20306576136,5,999999,2,1
5,3,73074.59953839108,999999,6,5,1
5,0,73084.20381406337,1,999999,6,1
5,2,73086.83439811012,7,5,4,1
5,7,73086.83439811012,6,3,999999,1
8,0,73087.9058598507,999999,1,5,1
6,4,73092.15585467119,999999,8,2,1
5,3,73096.09863315549,0,0,999999,1
1,6,73096.35605251613,8,5,2,1
5,0,73096.35605251613,999999,6,2,1
5,1,73096.35605251613,999999,1,5,1
6,0,73096.35605251613,2,999999,1,1
5,5,73103.64307331559,999999,1,8,1
6,2,73103.64307331559,0,5,5,1
6,3,73112.9052479334,999999,4,0,1
5,6,73120.62287717732,5,2,6,1
5,6,73120.62287717732,999999,1,0,1
6,7,73120.62287717732,3,6,999999,1
8,4,73125.64728025207,999999,6,0,1
5,5,73130.54926779559,999999,4,6,1
5,7,73130.54926779559,999999,0,8,1
6,8,73136.7373644139,999999,1,0,1
5,1,73140.6608035967,999999,5,6,1
5,6,73140.6608035967,7,999999,8,1
5,2,73141.22364007107,999999,6,8,1
6,5,73141.22364007107,999999,1,5,1
5,1,73155.63887478264,999999,7,8,1
6,3,73155.63887478264,999999,5,1,1
5,4,73168.35431147508,999999,1,6,1
5,1,73168.79353341204,999999,2,8,1
6,1,73168.79353341204,999999,0,3,1
6,1,73168.79353341204,999999,8,5,1
6,2,73168.79353341204,8,1,6,1
1,1,73177.3944789594,8,999999,5,1
6,4,73178.52785910113,999999,5,4,1
1,1,73186.06399029365,999999,6,5,1
6,2,73188.87655992822,1,4,999999,1
2,2,73190.94222423791,999999,0,8,1
5,5,73190.94222423791,999999,1,0,1
6,6,73190.94222423791,999999,1,4,1
2,0,73194.0124369811,999999,1,4,1
4,5,73196.61216722676,0,999999,3,1
5,4,73196.61216722676,999999,3,2,1
1,5,73198.78656295445,999999,2,8,1
1,8,73200.56017618717,999999,2,0,1
6,0,73200.56017618717,999999,3,6,1
5,2,73215.3276656957,999999,0,5,1
