名称,所在地,緯度,経度
祓川公園,祓川２丁目２０６５－８６,33.86046461,132.7209441
針田公園,針田町１０７番地５他,33.82345868,132.736493
日尾公園,南久米町乙１番地１,33.81873235,132.8055824
東大栗公園,東大栗町甲１２７３番地１,33.90827327,132.7873829
東垣生南公園,東垣生町53-1外,33.81003904,132.7147644
東方団地公園,東方町甲２３４６番地１２５,33.77788346,132.8206125
東方中央公園,東方町甲１４８１番地１　　他,33.76896909,132.821702
東鷹の子公園,平井町甲３１５７－８７,33.80584387,132.8163529
ひがしの北公園,東野３丁目甲２７８番１他,33.84360897,132.8031131
東垣生公園,東垣生町７６１－３,33.8162531,132.7149319
東町浦公園,北条辻１４４３－１１,33.97585799,132.7736407
東山公園,東山町４１０９－１ 他,33.86368067,132.7313339
東山ﾊﾐﾝｸﾞ公園,東山町４１６１番３,33.86462305,132.7288464
東山古墳公園（星が岡西公園）,東石井３丁目１５番,33.815312,132.7859
ひかるの公園,余戸南3丁目1362-83,33.80850174,132.7290969
姫原なかよし公園,姫原２丁目甲３１４番１４,33.86762008,132.7602754
姫原西公園,姫原３丁目３９２番４,33.86476903,132.7561269
平井公園,平井町甲２５２０番地 他,33.81016602,132.8268358
平田公園,平田町乙３９３－１,33.89123629,132.7512008
福水公園,別府町９２７－１,33.84630454,132.7283214
古川公園（古川西公園）,古川西２丁目１０４４－１,33.807948,132.7586498
古川南公園,古川南３丁目７９２番２ 他,33.80489105,132.7636244
別府南団地公園,別府町３番地１７,33.84326024,132.7283298
別府清水西団地公園,別府町６２１番地１３４,33.84719981,132.7150518
別府清水山公園,別府町７５５番地２ 他,33.84674936,132.715738
弁天山緑地（垣生山公園）,高岡町･北吉田町,33.83523614,132.7138721
北条公園,萩原・浅海 他,33.983929,132.7728938
星岡新団地第１公園,星岡町２丁目５２０番地４９,33.81785537,132.7854543
星岡新団地第2公園,星岡町１丁目５２０番地５９,33.81721536,132.7858714
星岡団地第１公園,星岡町１丁目６８５番地２２,33.81843362,132.7880014
星岡団地第2公園,星岡町１丁目５６０番地２２,33.81918995,132.7862601
星岡南団地第１公園,星岡町５丁目２７０番地１,33.81154729,132.7848296
星岡南団地第2公園,星岡町４丁目２７０番地９,33.81174548,132.7840246
星岡南団地第3公園,星岡町４丁目２７０番地３１,33.81259677,132.7850572
星が岡公園（星が岡東公園）,星岡町･東石井町地内,33.81473229,132.7848623
保免公園,保免中1丁目,33.81837378,132.7490502
保免中緑地,保免中２丁目２９０番地１,33.81628863,132.7489879
堀江中央公園,堀江町156９番１   他,33.90469462,132.7498867
堀江東公園,堀江町１４６６,33.90668646,132.7548332
正岡松尾公園,中西外６８６－１,33.96173041,132.7862756
政友公園,東方町２２５８－１ 他,33.77658339,132.8217909
松尾公園,福角町乙９２９ 他,33.89567697,132.7557874
松尾西公園,福角町甲５１－１１７,33.89599284,132.7511708
松山空港東緑地,東垣生町６０７番地２,33.8160011,132.7125361
松山総合公園,朝日ヶ丘１丁目　他,33.84429461,132.7376684
松山中央公園,市坪西町６２５－１　他,33.80884047,132.7461254
味栗公園,浅海原甲279-1外3,34.00199648,132.7949266
三島公園,井門町９３４,33.79172243,132.7834663
三杉緑地,三杉町２８８１－１７,33.86331839,132.7204411
溝辺公園,溝辺町甲７２１－２ 他,33.85322518,132.8031861
御手洗公園,泊町９１－５地先,33.8728841,132.6697594
三津公園（三津大可賀公園）,大可賀１丁目５,33.8546363,132.7151274
三津住吉公園,住吉2丁目７－１９,33.86371238,132.7163356
三津浜緑地,三津２丁目４５７－３,33.86411479,132.7099597
南梅本公園,南梅本町２２５番５　　他,33.79973822,132.8395823
南江戸公園,南江戸４丁目９７２番地,33.83741397,132.7427329
南久米公園,南久米町５９４　他,33.81255792,132.8028537
南斎院公園,南斎院町２３２－３,33.83107703,132.7349082
南土居公園,南土居町２３９番１,33.79629205,132.802704
南味酒公園,味酒町１丁目１１,33.84250232,132.7554801
南吉田公園,南吉田町１２５２－１,33.82664011,132.7054769
南吉田第三公園,南吉田町２５９３－１,33.8235311,132.7092315
南吉田第二公園,南吉田町２６５３番地,33.82384986,132.7088505
南吉田中央公園,南吉田町１３６６,33.82702968,132.7095695
南吉田緑地,南吉田町１１１３－２,33.82515671,132.7070096
水泥ﾊﾐﾝｸﾞ公園,水泥町７５３番１２,33.80425955,132.8320094
宮前公園,古三津１丁目１４７９－２,33.85708856,132.7227822
明星公園,森松町７２５番４,33.79240212,132.7882548
向井公園,北梅本町２１４６ 他,33.80968322,132.8417296
むくのき公園,馬木町2055,33.89019988,132.7473142
持田若宮公園,持田町３丁目２５０番地１,33.84429787,132.7815099
森松本村公園,森松町８４７－１,33.79381921,132.7978184
八坂公園,三番町１丁目３-３,33.83721687,132.7730349
八千代苑公園,堀江町甲３２７番地３,33.89980321,132.7456393
やなぎいけ公園,馬木町2004,33.8880222,132.7467317
柳原末広第２緑地,柳原 888-1,33.95855694,132.7727203
やはたじ公園,馬木町2303外,33.8901107,132.744348
山口公園,久谷町６１５番１ 他,33.73579108,132.8311519
山越公園,山越５丁目３－１,33.86041452,132.7529845
山西公園,山西町９０９番地,33.8539002,132.7228324
雄郡土橋公園,土橋８３番地２　外,33.83177,132.7566045
湯月公園,道後姫塚１４０－１,33.85050696,132.7908024
湯の山北公園,湯の山３丁目１１番１ 他,33.8726062,132.8147516
湯の山第一公園,湯の山５丁目１－５,33.86907106,132.8172228
湯の山第二公園,湯の山２丁目１０－１,33.86993385,132.8137875
湯の山西公園,湯の山１丁目１２番１ 他,33.86829657,132.8138243
湯の山東公園,湯の山8丁目16番,33.87187351,132.8167724
湯の山東第1公園,湯の山東１丁目8番,33.87197127,132.8182601
湯の山東第２公園,湯の山東１丁目7番,33.87124634,132.8186171
湯の山東第３公園,湯の山東5丁目6番,33.87046591,132.8191299
湯の山東第４公園,湯の山東2丁目8番,33.87249512,132.8212755
湯の山東第５公園,湯の山東５丁目１９番,33.86962484,132.8209064
湯の山南緑地,湯の山６丁目１０番１,33.86640527,132.8172078
湯山公園,食場町甲３１６番地２３他,33.86268318,132.8152353
由良公園,由良町１０３２番１ 他,33.90379398,132.6807426
湯領緑地,南吉田町１００７番６,33.82556836,132.7148507
吉藤公園,吉藤２丁目４８１－１,33.86936951,132.7590786
余戸大正泉緑地,余戸南１丁目２０９－１,33.81077829,132.7385467
余戸中新開公園,余戸中５丁目８９４番地１ 他,33.81631282,132.7321555
余戸西さくら公園,余戸西２丁目２２７９番１他,33.81409347,132.7229451
余戸東竹の宮公園,余戸東５丁目２９９番地５ 他,33.81693344,132.7373589
