都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
382019,2000000959,愛媛県,松山市,こみなと胃腸内科,コミナトイチョウナイカ,無床診療所,松山市北土居3-11-32,２Ｆ,33.8039792,132.7844426,,,,,,,,,,,,内科;胃腸内科;消化器内科内視鏡内科,0,,
382019,2000000968,愛媛県,松山市,湘南美容クリニック松山院,ショウナンビヨウクリニックマツヤマイン,無床診療所,松山市湊町4-10ｰ8,ＢＥ-ＦＬＡＴビル３階,33.836172,132.7650413,,,,,,,,,,,,美容外科;美容皮膚科,0,,
382019,2000000970,愛媛県,松山市,ふるかわ内科クリニック,フルカワナイカクリニック,無床診療所,松山市古川南3-16-27,,33.8052997,132.7651211,,,,,,,,,,,,糖尿病内科;消化器内科;内科,0,,
382019,2000000973,愛媛県,松山市,医療法人聖美会　JＯＥクリニック,イリョウホウジンセイビカイジョークリニック,無床診療所,松山市千舟町4-3-7,青野ビル３階,33.8365603,132.7650477,,,,,,,,,,,,美容形成外科;美容外科;皮膚科;美容皮膚科;,0,,
382019,2000000975,愛媛県,松山市,みゆき眼科,ミユキガンカ,無床診療所,松山市古川西2-3ｰ18,,33.8093598,132.7592004,,,,,,,,,,,,眼科;,0,,
382019,2000000978,愛媛県,松山市,かなえ内科・糖尿病内科クリニック,カナエナイカ・トウニョウビョウナイカクリニック,無床診療所,松山市平井町2577,,33.8259839,132.8296643,,,,,,,,,,,,内科;糖尿病内科,0,,
382019,2000000980,愛媛県,松山市,やまにし眼科,ヤマニシガンカ,無床診療所,松山市枝松1-9ｰ48,,33.8375392,132.787622,,,,,,,,,,,,眼科,0,,
382019,2000000981,愛媛県,松山市,小規模特別養護老人ホーム　ガリラヤ久米　医務室,ショウキボトクベツヨウゴロウジンホーム　ガリラヤクメ　イムシツ,無床診療所,松山市久米窪田町667-1,,33.8036231,132.8125942,,,,,,,,,,,,内科;外科,0,,
382019,2000000982,愛媛県,松山市,特別養護老人ホームみぞのべ　医務室,トクベツヨウゴロウジンホームミゾノベ　イムシツ,無床診療所,松山市溝辺町甲346-5,,33.8519605,132.803606,,,,,,,,,,,,内科,0,,
382019,2000000983,愛媛県,松山市,特別養護老人ホーム福寿　医務室,トクベツヨウゴロウジンホームフクジュ　イムシツ,無床診療所,松山市権現町甲10,,33.8973313,132.7723351,,,,,,,,,,,,内科,0,,
382019,2000000984,愛媛県,松山市,特別養護老人ホーム　あいじゅ祝谷医務室,トクベツヨウゴロウジンホーム　アイジュイワイダニイムシツ,無床診療所,松山市祝谷6-1027-1,,33.862941,132.775497,,,,,,,,,,,,内科,0,,
382019,2000000985,愛媛県,松山市,特別養護老人ホームほしのおか医務室,トクベツヨウゴロウジンホームホシノオカイムシツ,無床診療所,松山市星岡1-31ｰ7,,33.8175702,132.7883511,,,,,,,,,,,,内科,0,,
382019,2000000986,愛媛県,松山市,特別養護老人ホームゆうりん苑　医務室,トクベツヨウゴロウジンホームユウリンエン　イムシツ,無床診療所,松山市津吉町1008,,33.774828,132.8356615,,,,,,,,,,,,内科,0,,
382019,2000000987,愛媛県,松山市,もりさわメンタルクリニック,モリサワメンタルクリニック,無床診療所,松山市花園町4-12,和光ビル２階,33.8375417,132.7620821,,,,,,,,,,,,心療内科;精神科,0,,
382019,2000000988,愛媛県,松山市,ウェルケア道後　医務室,ウェルケアドウゴ　イムシツ,無床診療所,松山市下伊台町乙129-9,,33.8738097,132.7831772,,,,,,,,,,,,内科,0,,
382019,2000000990,愛媛県,松山市,はすい心療内科,ハスイシンリョウナイカ,無床診療所,松山市桑原2-2-28,,33.8347635,132.791775,,,,,,,,,,,,心療内科;精神科,0,,
382019,2000000995,愛媛県,松山市,藏原放射線科,クラハラホウシャセンカ,無床診療所,松山市東雲町4-8,,33.8450101,132.7740109,,,,,,,,,,,,放射線科;呼吸器内科;胃腸内科;,0,,
382019,2000000998,愛媛県,松山市,はなみずき眼科,ハナミズキガンカ,無床診療所,松山市古川南3-16ｰ28,,33.80549,132.764967,,,,,,,,,,,,眼科;,0,,
382019,2000000999,愛媛県,松山市,いずみ診療所,イズミシンリョウジョ,無床診療所,松山市今在家1-1ｰ1,,33.8082152,132.7935361,,,,,,,,,,,,外科;内視鏡外科;大腸肛門外科,0,,
382019,2000001000,愛媛県,松山市,医療法人登桜会　みかみ血管外科・静脈瘤クリニック,イリョウホウジントウオウカイ　ミカミケッカンゲカ・ジョウミャクリュウクリニック,無床診療所,松山市本町3-2-17,ライトフラッツビル１階,33.8459129,132.7585079,,,,,,,,,,,,血管外科,0,,
382019,2000001001,愛媛県,松山市,あさの胃腸内科クリニック,アサノイチョウナイカ,無床診療所,松山市小坂3-3ｰ26,,33.8305674,132.7797701,,,,,,,,,,,,内科;胃腸内科;消化器内科;内視鏡内科,0,,
382019,2000001002,愛媛県,松山市,クリニック木屋町,クリニックキヤチョウ,無床診療所,松山市木屋町4-109,,33.8561914,132.7608349,,,,,,,,,,,,漢方内科;外科,0,,
382019,2000001003,愛媛県,松山市,整形外科尾形クリニック,セイケイゲカオガタクリニック,無床診療所,松山市北久米町38-8,,33.8225896,132.8023296,,,,,,,,,,,,整形外科;リハビリテーション科;,0,,
382019,2000001004,愛媛県,松山市,うぐもり耳鼻咽喉科,ウグモリジビインコウカ,無床診療所,松山市余戸西3-10ｰ25,,33.814116,132.7202872,,,,,,,,,,,,耳鼻咽喉科;,0,,
382019,2000001005,愛媛県,松山市,あらたま内科・糖尿病内科,アラタマナイカ・トウニョウビョウナイカ,無床診療所,松山市千舟町8-66-5,,33.8370837,132.7545402,,,,,,,,,,,,内科;糖尿病内科;,0,,
382019,2000001007,愛媛県,松山市,たかおか眼科・内科クリニック,タカオカガンカナイカクリニック,無床診療所,松山市竹原2-1ｰ50,,33.8316782,132.7530047,,,,,,,,,,,,眼科;内科;,0,,
382019,2000001008,愛媛県,松山市,にしたに眼科クリニック,ニシタニガンカクリニック,無床診療所,松山市森松町131-3,,33.791148,132.79813,,,,,,,,,,,,眼科;,0,,
382019,2000001009,愛媛県,松山市,鎌田リウマチ・整形外科,カマダリウマチセイケイゲカ,無床診療所,松山市東垣生町173-1,,33.8125857,132.7150721,,,,,,,,,,,,整形外科;リウマチ科;リハビリテーション科;,0,,
382019,2000001017,愛媛県,松山市,ひいらぎこどもクリニック,ヒイラギコドモクリニック,無床診療所,松山市別府町442-1,,33.8446802,132.7226044,,,,,,,,,,,,小児科;アレルギー科;,0,,
382019,2000001019,愛媛県,松山市,まつやま余戸南診療所,マツヤマヨウゴミナミシンリョウショ,無床診療所,松山市余戸南1-24ｰ31,,33.8133252,132.7395251,,,,,,,,,,,,内科;外科;消化器内科;,0,,
382019,2000001020,愛媛県,松山市,山田内科クリニック,ヤマダナイカクリニック,無床診療所,松山市三番町5-9-4,,33.8379795,132.7634736,,,,,,,,,,,,内科;,0,,
382019,2000001021,愛媛県,松山市,おち内科・ペインクリニック,オチナイカペインクリニック,無床診療所,松山市北久米町732-1,,33.817165,132.7942986,,,,,,,,,,,,内科;ペインクリニック内科;麻酔科,0,,
382019,2000001024,愛媛県,松山市,三番町SAORI皮膚科,サンバンチョウサオリヒフカ,無床診療所,松山市三番町1-7-4,VTビル１階,33.8378975,132.7744842,,,,,,,,,,,,皮膚科;美容皮膚科,0,,
382019,2000001026,愛媛県,松山市,おおの整形外科内科医院,オオノセイケイゲカナイカイイン,無床診療所,松山市土居田町424-1,,33.8220608,132.7454782,,,,,,,,,,,,整形外科;リハビリテーション科;内科;消化器内科,0,,
382019,2000001027,愛媛県,松山市,さくら診療所,サクラシンリョウショ,無床診療所,松山市高井町728-3,,33.7981844,132.8134195,,,,,,,,,,,,内科,0,,
382019,2000001028,愛媛県,松山市,AGAスキンクリニック松山院,エージーエースキンクリニックマツヤマイン,無床診療所,松山市大街道2-5-1,丸栄ビル２階,33.8401569,132.7702947,,,,,,,,,,,,頭部皮膚科;皮膚科,0,,
382019,2000001029,愛媛県,松山市,浦屋医院,ウラヤイイン,有床診療所,松山市中一万町5-10,,33.8467611,132.7741912,,,,,,,,,,,,整形外科;外科;リハビリテーション科;リウマチ科;大腸肛門外科;消化器外科;,17,,
382019,2000001031,愛媛県,松山市,しみず耳鼻咽喉科クリニック,シミズジビインコウカクリニック,無床診療所,松山市来住町1391-1,,33.805785,132.795933,,,,,,,,,,,,耳鼻咽喉科;アレルギー科;,0,,
382019,2000001033,愛媛県,松山市,特別養護老人ホーム　サンシティ北条　医務室,トクベツヨウゴロウジンホームサンシティホウジョウイムシツ,無床診療所,松山市下難波甲1377-2,高齢者総合福祉施設　サンシティ北条　３階,33.988018,132.775172,,,,,,,,,,,,内科;循環器内科,0,,
382019,2000001037,愛媛県,松山市,松山ひまわり眼科,マツヤマヒマワリガンカ,無床診療所,松山市天山1-13-5,イオンスタイル松山２階,33.8235176,132.776454,,,,,,,,,,,,眼科,0,,
382019,2000001039,愛媛県,松山市,新野在宅訪問診療所,ニイノザイタクホウモンシンリョウショ,無床診療所,松山市上市2-2-2,,33.8462775,132.788332,,,,,,,,,,,,内科,0,,
382019,2000001043,愛媛県,松山市,たかいわ小児科,タカイワショウニカ,無床診療所,松山市小坂4-7-12,,33.8281244,132.7810301,,,,,,,,,,,,小児科,0,,
382019,2000001044,愛媛県,松山市,たるみこどもの杜クリニック,タルミコドモノモリクリニック,無床診療所,松山市樽味2-8-10,,33.8411657,132.7932311,,,,,,,,,,,,小児科,0,,
382019,2000001045,愛媛県,松山市,さくらビューティークリニック　松山院,サクラビューティークリニック　マツヤマイン,無床診療所,松山市大街道2-6-10,児玉写真館ビル２階,33.8399767,132.7702888,,,,,,,,,,,,美容皮膚科,0,,
382019,2000001046,愛媛県,松山市,おのクリニック,オノクリニック,無床診療所,松山市北梅本町757,,33.822567,132.8589142,,,,,,,,,,,,外科;内科;呼吸器内科;循環器内科;消化器内科,0,,
382019,2000001047,愛媛県,松山市,みかんの花クリニック糖尿病;内分泌;代謝内科,ミカンノハナクリニックトウニョウビョウ・ナイブンピツ・タイシャナイカ,無床診療所,松山市藤原町617-13,,33.8321244,132.7594616,,,,,,,,,,,,内科  ;糖尿病内科　;内分泌;代謝内科　;老年内科,0,,
382019,2000001051,愛媛県,松山市,みかんホームメディカルクリニック,ミカンホームメディカルクリニック,無床診療所,松山市志津川町200,,33.8781082,132.7479203,,,,,,,,,,,,消化器外科;外科,0,,
382019,2000001052,愛媛県,松山市,一般財団法人日本予防医学協会　松山巡回診療所,イッパンザイダンホウジンニホンヨボウイガクキョウカイ　マツヤマジュンカイシンリョウショ,無床診療所,松山市北梅本町66,,33.8045567,132.8547206,,,,,,,,,,,,内科;,0,,
382019,2000001053,愛媛県,松山市,みやわきこどもクリニック,ミヤワキコドモクリニック,無床診療所,松山市錦町6-7,ＴＲＥＥビル２階,33.8382604,132.776838,,,,,,,,,,,,小児科,0,,
382019,2000001054,愛媛県,松山市,やいた内科;内視鏡クリニック,ヤイタナイカ・ナイシキョウクリニック,無床診療所,松山市東野2-2-17,,33.8408121,132.7987206,,,,,,,,,,,,内科;消化器内科;内視鏡内科,0,,
382019,2000001055,愛媛県,松山市,城西クリニック,ジョウセイクリニック,無床診療所,松山市祓川1-2-28,,33.8578364,132.7197325,,,,,,,,,,,,内科;消化器内科,0,,
382019,2000001058,愛媛県,松山市,H＆Cサポート株式会社他中小企業職域接種会場,エイチアンドシーサポートカブシキガイシャホカチュウショウキギョウショクイキセッシュカイジョウ,無床診療所,松山市古三津4-717,,33.8557885,132.7295253,,,,,,,,,,,,内科　（新型コロナワクチン職域接種）,0,,
382019,2000001062,愛媛県,松山市,眼科さなだ医院,ガンカサナダイイン,無床診療所,松山市平和通5-6-3,,33.8478348,132.7615216,,,,,,,,,,,,眼科,0,,
382019,2000001064,愛媛県,松山市,松岡婦人科クリニック,マツオカフジンカクリニック,無床診療所,松山市樽味2-8-30,,33.8414684,132.793196,,,,,,,,,,,,婦人科,0,,
