origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
8,3,136827.07192468824,999999,8,5,1
1,6,136827.38475631463,8,999999,6,1
6,3,136835.04049834673,999999,4,5,1
5,5,136838.13327653325,999999,6,3,1
4,2,136839.78638473904,999999,5,6,1
5,1,136841.96538092897,999999,2,0,1
6,6,136844.79221280388,999999,8,5,1
6,2,136846.81205159918,999999,5,3,1
5,3,136849.67265835928,5,999999,0,1
2,1,136857.4374847255,999999,5,5,1
5,3,136860.90982545842,999999,8,6,1
5,2,136862.0264333552,999999,0,0,1
6,2,136862.61897600046,999999,3,1,1
5,5,136863.14969768,999999,3,8,1
2,8,136863.4957642056,999999,5,6,1
8,6,136866.7557272543,999999,1,2,1
6,7,136869.20281493323,999999,2,0,1
5,6,136872.01984884805,999999,1,1,1
6,8,136873.3401661019,1,999999,5,1
8,6,136876.70832224167,999999,0,6,1
5,4,136877.11808636718,999999,5,1,1
5,5,136879.34546412394,999999,5,1,1
1,2,136880.26758711177,999999,6,0,1
5,8,136882.3231038958,999999,5,4,1
5,6,136883.8970792688,999999,1,5,1
4,1,136884.56496568996,6,999999,5,1
4,0,136886.8397593282,999999,5,6,1
6,8,136887.98498863657,2,999999,1,1
6,2,136888.0624425158,3,5,999999,1
5,6,136888.9319137156,999999,5,5,1
6,2,136892.27488957372,999999,6,5,1
6,6,136892.82394641373,999999,0,2,1
4,4,136893.98887422122,999999,2,0,1
5,4,136895.63705962145,6,5,999999,1
5,6,136900.5358977216,999999,4,6,1
1,2,136901.9566867378,5,999999,7,1
6,0,136902.21161417238,999999,1,8,1
8,8,136907.94172770123,4,5,999999,1
6,5,136908.71978537433,1,999999,0,1
6,1,136912.40919280428,4,999999,6,1
1,5,136917.66454136284,2,999999,6,1
4,3,136922.87540730755,6,999999,3,1
5,1,136925.06736080677,1,999999,0,1
8,2,136927.8789137211,999999,6,8,1
6,2,136928.08303925244,999999,8,3,1
6,5,136934.80012262566,999999,1,0,1
6,4,136935.92618002466,5,999999,8,1
5,1,136939.40898306554,999999,8,2,1
5,0,136948.6975130429,999999,6,3,1
5,4,136948.75018101255,999999,8,1,1
5,3,136956.64086602113,999999,6,6,1
5,2,136957.22410505763,5,999999,6,1
5,3,136957.77024021817,999999,8,5,1
5,2,136958.93271889733,999999,5,1,1
5,8,136960.4725993714,999999,6,6,1
6,5,136962.9648222039,999999,2,6,1
8,3,136964.1532096577,5,999999,1,1
1,4,136965.98805238216,2,999999,2,1
5,3,136974.54724620402,999999,1,6,1
6,5,136976.0768161862,999999,2,6,1
5,1,136976.17803153858,999999,6,5,1
8,2,136980.00022144866,1,4,999999,1
5,0,136981.30359228086,5,999999,5,1
5,1,136982.91200178803,999999,3,2,1
5,6,136985.06301757548,999999,3,2,1
5,5,136988.9827333198,999999,6,3,1
6,2,136989.7873540039,999999,4,0,1
8,1,136990.0325355147,999999,6,0,1
5,5,136990.72047062565,6,999999,8,1
5,6,136991.27012077282,999999,2,8,1
6,2,136995.7427342084,999999,5,6,1
6,6,137003.91347217353,999999,3,5,1
4,1,137027.7694439917,999999,6,8,1
8,5,137030.07112229627,999999,6,8,1
