PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks,Bzone,S_NAME_ref,lon_ref,lat_ref,choice_zone
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,東石井,30000000,,,310,,ほぼ台形,19,180,1973年,木造,住宅,,南,市道,4,第１種低層住居専用地域,50,80,2008年第1四半期,,,松山市13区,東石井三丁目,132.780288,33.814777,11
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,東石井,24000000,420000,,190,130000,ほぼ長方形,10.4,, ,,,,南,私道,5,第１種住居地域,60,200,2008年第1四半期,,,松山市13区,東石井一丁目,132.780103,33.818869,11
不動産取引価格情報,宅地(土地),宅地見込地,38201,愛媛県,松山市,庄,3000000,7200,,1400,2200,長方形,32,, ,,,,西,市道,3.5,市街化調整区域,70,200,2008年第1四半期,,,松山市27区,庄府,132.869167,33.981571,18
不動産取引価格情報,宅地(土地),宅地見込地,38201,愛媛県,松山市,常保免,1100000,20000,,180,6100,ほぼ台形,20.4,, ,,,,北,県道,9,市街化調整区域,70,200,2008年第1四半期,,,松山市27区,常保免,132.785852,33.948357,18
不動産取引価格情報,農地,,38201,愛媛県,松山市,中西外,1700000,,,140,,,,, ,,,,,,,,,,2008年第1四半期,,,松山市27区,中西外,132.783947,33.963853,18
不動産取引価格情報,農地,,38201,愛媛県,松山市,中西外,570000,,,190,,,,, ,,,,,,,,,,2008年第1四半期,,,松山市27区,中西外,132.783947,33.963853,18
不動産取引価格情報,農地,,38201,愛媛県,松山市,中西外,12000000,,,8888,,,,, ,,,,,,,,,,2008年第1四半期,,,松山市27区,中西外,132.783947,33.963853,18
不動産取引価格情報,宅地(土地),宅地見込地,38201,愛媛県,松山市,萩原,2000000,5000,,1300,1500,不整形,6,, ,,,,北西,農道,2,都市計画区域外,,,2008年第1四半期,,,松山市27区,萩原,132.818808,33.994869,18
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,柳原,15000000,,,175,,ほぼ正方形,7,115,1985年,木造,住宅,,南,市道,4,第１種住居地域,60,200,2008年第1四半期,,,松山市27区,柳原,132.771482,33.956526,18
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,居相,13000000,,,120,,長方形,12,70,1979年,木造,住宅,,西,私道,4,第１種低層住居専用地域,50,80,2008年第1四半期,,,松山市14区,居相四丁目,132.770307,33.807682,12
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,北井門,31000000,,,165,,ほぼ長方形,13.9,165,1994年,木造,住宅,,東,私道,4,第１種住居地域,60,200,2008年第1四半期,,,松山市14区,北井門四丁目,132.775119,33.803362,12
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,星岡,12000000,,,110,,ほぼ整形,12.5,90,1988年,木造,住宅,,東,私道,4,第１種低層住居専用地域,50,80,2008年第1四半期,,調停・競売等,松山市13区,星岡一丁目,132.787195,33.818107,11
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,祝谷,15000000,340000,,145,100000,台形,13.7,, ,,,,南,私道,4,第１種中高層住居専用地域,60,200,2008年第1四半期,,,松山市3区,祝谷四丁目,132.776919,33.858162,1
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,祝谷,20000000,,,125,,ほぼ正方形,10.6,120,1988年,鉄骨造,共同住宅,,東,市道,4,第１種中高層住居専用地域,60,200,2008年第1四半期,,,松山市3区,祝谷町一丁目,132.785117,33.85569,1
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,祝谷,12000000,220000,,180,68000,ほぼ台形,15,, ,,,,北,私道,4,第１種中高層住居専用地域,60,200,2008年第1四半期,,,松山市3区,祝谷三丁目,132.775554,33.855424,1
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,祝谷,31000000,,,360,,不整形,,140,1988年,木造,住宅,,南,私道,4,第１種中高層住居専用地域,60,200,2008年第1四半期,,,松山市3区,祝谷四丁目,132.776919,33.858162,1
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,上野町,33000000,240000,,460,72000,ほぼ台形,23.5,, ,,,,北,市道,9.6,市街化調整区域,70,200,2008年第1四半期,,,松山市12区,上野町,132.802765,33.773815,10
不動産取引価格情報,宅地(土地),宅地見込地,38201,愛媛県,松山市,恵原町,9000000,18000,,1600,5500,ほぼ長方形,9999.9,, ,,,,東,市道,2.6,市街化調整区域,70,200,2008年第1四半期,,調停・競売等,松山市12区,恵原町,132.810985,33.763727,10
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,春日町,23000000,,３ＬＤＫ,70,,,,,2006年,ＲＣ,住宅,,,,,近隣商業地域,80,300,2008年第1四半期,未改装,,松山市5区,春日町,132.765125,33.832611,3
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,上市,25000000,,３ＬＤＫ,65,,,,,2006年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60,200,2008年第1四半期,未改装,,松山市3区,上市二丁目,132.78902,33.847466,1
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,上市,64000000,650000,,320,200000,ほぼ台形,17.5,, ,,,,東,私道,4,第１種中高層住居専用地域,60,200,2008年第1四半期,,,松山市3区,上市一丁目,132.788871,33.844634,1
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,上市,70000000,,,330,,ほぼ台形,23,210,1979年,木造,住宅,,南,市道,5,第１種中高層住居専用地域,60,200,2008年第1四半期,,,松山市3区,上市二丁目,132.78902,33.847466,1
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,空港通,79000000,240000,,1100,73000,ほぼ長方形,12.1,, ,,,,東,市道,4,第１種住居地域,60,200,2008年第1四半期,,,松山市5区,空港通一丁目,132.748546,33.827923,3
不動産取引価格情報,宅地(土地と建物),商業地,38201,愛媛県,松山市,空港通,270000000,,,1400,,ほぼ長方形,24,1200,1998年,鉄骨造,工場,,北,県道,16,準工業地域,60,200,2008年第1四半期,,,松山市5区,空港通七丁目,132.727527,33.827787,3
不動産取引価格情報,宅地(土地と建物),商業地,38201,愛媛県,松山市,空港通,100000000,,,670,,ほぼ長方形,20,440,2006年,鉄骨造,事務所、店舗,,北,県道,18.5,準工業地域,60,200,2008年第1四半期,,,松山市5区,空港通六丁目,132.730469,33.827805,3
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,空港通,25000000,,,115,,ほぼ整形,13.2,95,2008年,木造,住宅,,北,私道,4.2,準工業地域,60,200,2008年第1四半期,,,松山市5区,空港通七丁目,132.727527,33.827787,3
不動産取引価格情報,宅地(土地),宅地見込地,38201,愛媛県,松山市,小村町,15000000,59000,,850,18000,ほぼ台形,42,, ,,,,西,道路,4.5,市街化調整区域,70,200,2008年第1四半期,,,松山市12区,小村町,132.815054,33.778997,10
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,下伊台町,11000000,,,175,,ほぼ長方形,12.2,110,1989年,木造,住宅,,北,私道,4,市街化調整区域,70,200,2008年第1四半期,,,松山市8区,下伊台町,132.800807,33.873905,6
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,下伊台町,8000000,99000,,270,30000,ほぼ長方形,27.3,, ,,,,北東,私道,4,市街化調整区域,70,200,2008年第1四半期,,,松山市8区,下伊台町,132.800807,33.873905,6
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,下伊台町,17000000,,,200,,ほぼ長方形,17.4,195,1993年,木造,住宅,,南西,私道,4,市街化調整区域,70,200,2008年第1四半期,,調停・競売等,松山市8区,下伊台町,132.800807,33.873905,6
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,下伊台町,17000000,,,200,,ほぼ長方形,17.4,195,1993年,木造,住宅,,南西,私道,4,市街化調整区域,70,200,2008年第1四半期,,,松山市8区,下伊台町,132.800807,33.873905,6
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,下伊台町,7000000,140000,,165,43000,ほぼ台形,15.5,, ,,,,南西,私道,4,市街化調整区域,70,200,2008年第1四半期,,,松山市8区,下伊台町,132.800807,33.873905,6
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,新浜町,9700000,,,270,,ほぼ台形,22,150,1979年,木造,住宅,,南,私道,4,第１種住居地域,60,200,2008年第1四半期,,調停・競売等,松山市17区,新浜町,132.713199,33.871496,15
不動産取引価格情報,宅地(土地),商業地,38201,愛媛県,松山市,住吉,9200000,200000,,155,61000,ほぼ長方形,5,, ,,,,北,県道,9,商業地域,80,400,2008年第1四半期,,,松山市20区,住吉一丁目,132.717984,33.863883,15
不動産取引価格情報,宅地(土地と建物),商業地,38201,愛媛県,松山市,住吉,5500000,,,155,,不整形,6.4,85,1991年,軽量鉄骨造,店舗,,南,市道,4,商業地域,80,400,2008年第1四半期,,調停・競売等,松山市20区,住吉一丁目,132.717984,33.863883,15
不動産取引価格情報,宅地(土地),宅地見込地,38201,愛媛県,松山市,高木町,15000000,280000,,175,85000,正方形,13.5,, ,,,,北,市道,5.7,第１種住居地域,60,200,2008年第1四半期,,,松山市19区,高木町,132.744869,33.884155,17
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,高野町,27000000,,,270,,ほぼ長方形,15,95,1991年,木造,住宅,,南,私道,6,第１種住居地域,60,200,2008年第1四半期,,,松山市8区,高野町,132.814014,33.853202,6
不動産取引価格情報,宅地(土地),宅地見込地,38201,愛媛県,松山市,竹原,53000000,240000,,730,73000,ほぼ長方形,12.7,, ,,,,南,道路,5.5,第１種住居地域,60,200,2008年第1四半期,,,松山市5区,竹原二丁目,132.752972,33.832462,3
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,竹原,12000000,,２ＬＤＫ,65,,,,,1996年,ＳＲＣ,住宅,,,,,,,,2008年第1四半期,未改装,,松山市5区,竹原三丁目,132.749524,33.832047,3
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,立花,30000000,,,165,,不整形,,90,2008年,木造,,,東,私道,4,第１種住居地域,60,200,2008年第1四半期,,,松山市4区,立花三丁目,132.773164,33.825927,2
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,立花,9700000,,,135,,長方形,13.5,80,1969年,木造,住宅,,南,私道,4,第１種住居地域,60,200,2008年第1四半期,,,松山市5区,北立花町,132.772517,33.83426,3
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,立花,260000000,210000,,9999,64000,ほぼ長方形,9999.9,, ,,,,南東,市道,6,第１種住居地域,60,200,2008年第1四半期,,,松山市4区,立花六丁目,132.769512,33.825663,2
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,立花,33000000,,,360,,不整形,21.6,120,1995年,鉄骨造,事務所、倉庫,,西,市道,3.2,第１種住居地域,60,200,2008年第1四半期,,,松山市4区,立花六丁目,132.769512,33.825663,2
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,立花,34000000,480000,,230,150000,ほぼ整形,15,, ,,,,北,私道,3.8,第１種住居地域,60,200,2008年第1四半期,,,松山市4区,立花六丁目,132.769512,33.825663,2
