PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks,Bzone,S_NAME_ref,lon_ref,lat_ref,choice_zone,選択ゾーン,Year
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,柳原,15000000,,,175,85714.28571428571,ほぼ正方形,7.0,115.0,1985年,木造,住宅,,南,市道,4.0,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市27区,柳原,132.771482,33.956526,18.0,[np.float64(38.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,居相,13000000,,,120,108333.33333333333,長方形,12.0,70.0,1979年,木造,住宅,,西,私道,4.0,第１種低層住居専用地域,50.0,80.0,2008年第1四半期,,,松山市14区,居相四丁目,132.770307,33.807682,12.0,[np.float64(30.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,北井門,31000000,,,165,187878.78787878787,ほぼ長方形,13.9,165.0,1994年,木造,住宅,,東,私道,4.0,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市14区,北井門四丁目,132.775119,33.803362,12.0,[np.float64(30.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,星岡,12000000,,,110,109090.90909090909,ほぼ整形,12.5,90.0,1988年,木造,住宅,,東,私道,4.0,第１種低層住居専用地域,50.0,80.0,2008年第1四半期,,調停・競売等,松山市13区,星岡一丁目,132.787195,33.818107,11.0,[np.float64(30.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,祝谷,20000000,,,125,160000.0,ほぼ正方形,10.6,120.0,1988年,鉄骨造,共同住宅,,東,市道,4.0,第１種中高層住居専用地域,60.0,200.0,2008年第1四半期,,,松山市3区,祝谷町一丁目,132.785117,33.85569,1.0,[np.float64(9.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,祝谷,31000000,,,360,86111.11111111111,不整形,,140.0,1988年,木造,住宅,,南,私道,4.0,第１種中高層住居専用地域,60.0,200.0,2008年第1四半期,,,松山市3区,祝谷四丁目,132.776919,33.858162,1.0,[np.float64(9.0)],2008
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,春日町,23000000,,３ＬＤＫ,70,328571.4285714286,,,,2006年,ＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2008年第1四半期,未改装,,松山市5区,春日町,132.765125,33.832611,3.0,[np.float64(4.0)],2008
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,上市,25000000,,３ＬＤＫ,65,384615.3846153846,,,,2006年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2008年第1四半期,未改装,,松山市3区,上市二丁目,132.78902,33.847466,1.0,[np.float64(9.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,上市,70000000,,,330,212121.21212121213,ほぼ台形,23.0,210.0,1979年,木造,住宅,,南,市道,5.0,第１種中高層住居専用地域,60.0,200.0,2008年第1四半期,,,松山市3区,上市二丁目,132.78902,33.847466,1.0,[np.float64(9.0)],2008
不動産取引価格情報,宅地(土地と建物),商業地,38201,愛媛県,松山市,空港通,270000000,,,1400,192857.14285714287,ほぼ長方形,24.0,1200.0,1998年,鉄骨造,工場,,北,県道,16.0,準工業地域,60.0,200.0,2008年第1四半期,,,松山市5区,空港通七丁目,132.727527,33.827787,3.0,"[np.float64(10.0), np.float64(4.0)]",2008
