origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
4,0,66654.01037321854,999999,6,8,1
5,6,66654.01037321854,999999,6,5,1
1,0,66661.35026783175,999999,3,5,1
1,8,66661.35026783175,5,999999,5,1
5,5,66661.35026783175,999999,8,2,1
4,1,66667.3941065171,999999,5,4,1
5,4,66667.3941065171,999999,6,6,1
5,2,66669.30043912877,999999,7,3,1
5,6,66672.30247630198,999999,5,8,1
5,8,66672.30247630198,5,3,999999,1
5,8,66672.30247630198,5,999999,5,1
6,6,66674.01915974046,999999,6,0,1
6,1,66676.15376526196,999999,5,8,1
6,2,66676.15376526196,999999,5,0,1
5,7,66690.29292871598,5,999999,6,1
4,1,66691.24499451286,999999,4,5,1
5,2,66691.24499451286,999999,1,0,1
6,2,66691.24499451286,999999,4,1,1
4,8,66695.14881784207,3,2,999999,1
5,1,66695.14881784207,999999,6,2,1
5,1,66697.29935165792,999999,2,5,1
5,6,66697.29935165792,999999,5,6,1
5,0,66697.54810032314,999999,1,6,1
1,6,66715.16326340623,999999,5,6,1
6,0,66715.16326340623,1,999999,2,1
6,0,66715.16326340623,8,6,2,1
6,6,66715.16326340623,999999,6,3,1
4,2,66716.42689911996,1,999999,5,1
6,7,66716.42689911996,1,999999,2,1
5,1,66719.18760269441,999999,0,3,1
6,6,66719.18760269441,999999,8,5,1
8,0,66719.18760269441,2,999999,5,1
8,8,66719.18760269441,999999,0,7,1
1,8,66729.77351909156,1,999999,0,1
5,6,66729.77351909156,5,999999,1,1
5,6,66732.97798093845,999999,4,2,1
8,4,66732.97798093845,999999,1,7,1
4,5,66735.25533971122,999999,1,5,1
4,0,66745.64519316738,999999,6,8,1
4,3,66745.64519316738,5,999999,6,1
4,0,66750.44432843683,999999,3,5,1
8,4,66750.44432843683,999999,6,5,1
1,6,66752.49628020843,999999,6,3,1
5,8,66752.49628020843,999999,8,0,1
6,5,66752.49628020843,999999,6,1,1
4,5,66752.97727834157,999999,6,1,1
5,6,66752.97727834157,999999,8,1,1
6,5,66752.97727834157,6,999999,0,1
2,8,66766.58852949718,999999,1,0,1
6,8,66775.20658860262,999999,5,0,1
6,5,66800.71665494864,999999,1,8,1
6,5,66800.71665494864,999999,3,1,1
5,3,66800.73235018097,999999,6,8,1
5,5,66800.73235018097,0,999999,6,1
1,6,66808.3072371554,2,999999,6,1
1,6,66808.3072371554,6,999999,7,1
1,6,66808.3072371554,999999,4,4,1
5,5,66812.57588984029,6,999999,8,1
5,5,66812.57588984029,999999,6,5,1
5,8,66812.57588984029,5,999999,5,1
6,4,66819.17638114448,2,999999,3,1
1,1,66827.56282710629,999999,3,2,1
5,5,66827.56282710629,5,999999,8,1
5,0,66827.79115312475,5,6,6,1
