k,num_links,elapsed_time,max_memory_gb,memo,,k,num_links,elapsed_time,max_memory_gb
8,60,129.7873347,22.64650345,Success,,,,,
8,60,40.62632322,11.92825699,Success,,,,,
10,60,,,Timeout,,,,,
10,60,,,Timeout,,,,,
10,60,,,Timeout,,,,,
10,60,,,Timeout,,,,,
10,60,,,Timeout,,,,,
10,60,,,Timeout,,,,,
10,60,,,Timeout,,,,,
10,60,,,Timeout,,,,,
10,60,,,Timeout,,,,,
10,60,,,Timeout,,,,,
4,70,1.453871727,11.72779465,Success,,,,,
4,70,1.250697851,3.012039185,Success,,,,,
4,70,1.814534903,3.114833832,Success,,,,,
4,70,1.857813358,5.83391571,Success,,,,,
4,70,1.288858891,5.915897369,Success,,,,,
4,70,1.653662443,5.77564621,Success,,,,,
4,70,0.475918293,1.537151337,Success,,,,,
4,70,1.126334906,5.948219299,Success,,,,,
4,70,1.217921734,3.164009094,Success,,,,,
4,70,1.072584391,12.02441025,Success,,,,,
6,70,12.47297168,2.957450867,Success,,,,,
6,70,80.20777822,11.56420135,Success,,,,,
6,70,44.21929598,11.6409111,Success,,,,,
6,70,40.34387064,11.3487587,Success,,,,,
6,70,35.56085849,12.41975784,Success,,,,,
6,70,30.61599207,11.83382034,Success,,,,,
6,70,,,Timeout,,,,,
6,70,,,Timeout,,,,,
6,70,,,Timeout,,,,,
6,70,,,Timeout,,,,,
8,70,,,Timeout,,,,,
8,70,,,Timeout,,,,,
8,70,,,Timeout,,,,,
8,70,,,Timeout,,,,,
8,70,,,Timeout,,,,,
8,70,,,Timeout,,,,,
8,70,,,Timeout,,,,,
8,70,,,Timeout,,,,,
8,70,,,Timeout,,,,,
8,70,,,Timeout,,,,,
10,70,,,Timeout,,,,,
10,70,,,Timeout,,,,,
10,70,,,Timeout,,,,,
10,70,,,Timeout,,,,,
10,70,,,Timeout,,,,,
10,70,,,Timeout,,,,,
10,70,,,Timeout,,,,,
10,70,,,Timeout,,,,,
10,70,,,Timeout,,,,,
10,70,,,Timeout,,,,,
4,80,,,Timeout,,,,,
4,80,,,Timeout,,,,,
4,80,,,Timeout,,,,,
4,80,,,Timeout,,,,,
4,80,,,Timeout,,,,,
4,80,,,Timeout,,,,,
4,80,,,Timeout,,,,,
4,80,,,Timeout,,,,,
4,80,,,Timeout,,,,,
4,80,,,Timeout,,,,,
6,80,,,Timeout,,,,,
6,80,,,Timeout,,,,,
6,80,,,Timeout,,,,,
6,80,,,Timeout,,,,,
6,80,,,Timeout,,,,,
6,80,,,Timeout,,,,,
6,80,,,Timeout,,,,,
6,80,,,Timeout,,,,,
6,80,,,Timeout,,,,,
6,80,,,Timeout,,,,,
8,80,,,Timeout,,,,,
8,80,,,Timeout,,,,,
8,80,,,Timeout,,,,,
8,80,,,Timeout,,,,,
8,80,,,Timeout,,,,,
8,80,,,Timeout,,,,,
8,80,,,Timeout,,,,,
8,80,,,Timeout,,,,,
8,80,,,Timeout,,,,,
8,80,,,Timeout,,,,,
10,80,,,Timeout,,,,,
10,80,,,Timeout,,,,,
10,80,,,Timeout,,,,,
10,80,,,Timeout,,,,,
10,80,,,Timeout,,,,,
10,80,,,Timeout,,,,,
10,80,,,Timeout,,,,,
10,80,,,Timeout,,,,,
10,80,,,Timeout,,,,,
10,80,,,Timeout,,,,,
4,90,,,Timeout,,,,,
4,90,,,Timeout,,,,,
4,90,,,Timeout,,,,,
4,90,,,Timeout,,,,,
4,90,,,Timeout,,,,,
4,90,,,Timeout,,,,,
4,90,,,Timeout,,,,,
4,90,,,Timeout,,,,,
4,90,,,Timeout,,,,,
4,90,,,Timeout,,,,,
6,90,,,Timeout,,,,,
6,90,,,Timeout,,,,,
6,90,,,Timeout,,,,,
6,90,,,Timeout,,,,,
6,90,,,Timeout,,,,,
6,90,,,Timeout,,,,,
6,90,,,Timeout,,,,,
6,90,,,Timeout,,,,,
6,90,,,Timeout,,,,,
6,90,,,Timeout,,,,,
8,90,,,Timeout,,,,,
8,90,,,Timeout,,,,,
8,90,,,Timeout,,,,,
8,90,,,Timeout,,,,,
8,90,,,Timeout,,,,,
8,90,,,Timeout,,,,,
8,90,,,Timeout,,,,,
8,90,,,Timeout,,,,,
