origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
6,8,43674.33975318947,999999,0,6,1
5,1,43677.76113049124,999999,7,0,1
6,6,43677.76113049124,999999,3,5,1
4,2,43690.02814983435,999999,1,1,1
5,2,43690.02814983435,999999,6,0,1
5,2,43690.87391159639,6,5,999999,1
5,5,43690.87391159639,999999,6,8,1
5,6,43690.87391159639,999999,8,1,1
5,5,43695.65846129936,999999,8,1,1
5,2,43696.69332509535,999999,6,5,1
6,1,43700.49242328826,999999,5,8,1
6,0,43711.162091724254,6,999999,8,1
5,1,43732.398095149016,999999,0,5,1
6,6,43732.398095149016,2,999999,8,1
8,1,43734.07171263594,999999,5,6,1
8,3,43734.07171263594,999999,5,2,1
5,1,43742.33806888724,999999,2,2,1
5,1,43742.33806888724,999999,5,8,1
6,7,43744.33478188386,999999,8,5,1
6,8,43744.33478188386,999999,2,0,1
6,0,43745.54313321891,999999,5,5,1
6,5,43745.54313321891,8,999999,3,1
6,6,43745.54313321891,999999,5,5,1
5,6,43746.96998289764,999999,6,6,1
5,0,43748.17416981332,999999,1,3,1
5,5,43749.811295400556,999999,8,3,1
6,6,43749.811295400556,999999,6,1,1
6,5,43750.89592877417,999999,4,1,1
1,5,43753.009782905225,999999,3,5,1
5,5,43753.009782905225,999999,0,2,1
1,1,43753.86235352386,6,999999,5,1
5,3,43753.86235352386,999999,8,6,1
5,8,43753.86235352386,1,999999,5,1
6,5,43753.86235352386,0,6,999999,1
4,6,43759.995469943926,999999,1,6,1
5,2,43759.995469943926,999999,1,4,1
1,3,43763.750879980624,1,999999,6,1
1,6,43763.750879980624,999999,3,2,1
6,5,43763.750879980624,8,0,6,1
8,7,43763.750879980624,999999,1,0,1
1,5,43765.75513470792,5,999999,2,1
1,5,43769.30034908027,2,999999,6,1
5,2,43769.30034908027,999999,3,5,1
6,0,43775.54990293621,999999,5,6,1
6,5,43775.54990293621,1,999999,8,1
5,3,43779.7153698646,6,3,999999,1
6,0,43779.7153698646,999999,6,3,1
6,7,43779.7153698646,5,8,6,1
4,5,43793.285547450345,999999,3,4,1
5,2,43793.285547450345,4,999999,4,1
5,7,43794.87520136016,999999,3,6,1
5,8,43794.87520136016,3,999999,6,1
8,1,43804.55952577857,6,999999,8,1
4,7,43806.02799025364,4,8,999999,1
6,1,43807.56061384958,5,999999,3,1
2,6,43809.25920396088,5,999999,6,1
5,4,43809.455766151856,999999,3,3,1
6,6,43809.455766151856,0,999999,8,1
6,6,43809.455766151856,999999,0,4,1
1,3,43813.896538878755,999999,2,6,1
1,8,43813.896538878755,999999,1,6,1
5,6,43813.896538878755,999999,1,3,1
6,1,43818.781273721965,6,999999,8,1
1,5,43820.143834502094,999999,2,999999,1
4,3,43820.762604848685,999999,5,6,1
4,0,43821.58181566445,999999,7,5,1
1,5,43826.84188499937,999999,3,2,1
1,6,43826.84188499937,999999,3,1,1
5,5,43827.34976604053,6,999999,8,1
2,5,43842.13903925507,3,1,999999,1
6,3,43842.13903925507,999999,5,8,1
5,8,43842.7312354445,999999,1,6,1
1,3,43842.9870432871,999999,8,5,1
8,8,43849.70123958037,999999,1,6,1
2,8,43856.09876406828,2,0,999999,1
6,2,43858.83564653042,999999,6,5,1
8,2,43858.83564653042,999999,0,1,1
8,3,43858.83564653042,999999,2,2,1
1,1,43870.27926248489,999999,4,5,1
6,8,43870.27926248489,6,1,999999,1
4,6,43881.990932365035,2,6,999999,1
4,8,43884.51827400732,6,999999,5,1
5,6,43884.51827400732,0,999999,2,1
5,6,43884.77137636411,999999,7,2,1
8,0,43884.77137636411,999999,6,3,1
4,3,43895.36271994716,999999,6,3,1
5,5,43895.36271994716,999999,7,2,1
6,2,43897.14169316288,6,3,999999,1
1,4,43904.75620526749,999999,8,6,1
6,6,43904.75620526749,5,999999,4,1
1,5,43905.69216625466,999999,2,7,1
5,1,43905.69216625466,6,999999,5,1
5,0,43909.55531345475,1,6,999999,1
5,6,43909.55531345475,999999,4,6,1
6,5,43931.62992915447,5,999999,1,1
4,6,43937.57527305051,999999,3,5,1
5,2,43937.57527305051,999999,6,0,1
6,0,43941.09368670597,999999,5,6,1
5,1,43943.527941005574,0,999999,5,1
6,2,43945.96164333808,999999,1,1,1
6,6,43947.21039866569,999999,8,1,1
6,5,43949.39071764607,999999,8,3,1
1,0,43951.40663285555,999999,6,7,1
5,5,43954.857163905705,999999,6,3,1
1,2,43961.50858806916,999999,0,2,1
1,5,43965.44359262164,999999,3,1,1
5,3,43965.44359262164,0,8,5,1
1,3,43966.15112681837,999999,8,5,1
5,2,43975.00376013917,999999,0,7,1
5,8,43975.00376013917,999999,4,6,1
6,5,43975.00376013917,8,3,999999,1
6,6,43975.00376013917,3,999999,6,1
4,5,43978.41506019646,999999,1,3,1
5,5,43978.41506019646,999999,6,8,1
5,1,43980.878571085086,7,2,5,1
1,2,43990.94337311611,999999,4,5,1
5,4,43990.94337311611,5,999999,5,1
5,5,43990.95336541063,1,999999,5,1
5,2,43992.24391073508,999999,0,6,1
5,5,43992.24391073508,3,5,6,1
5,5,43992.24391073508,999999,3,6,1
6,0,43992.24391073508,999999,2,8,1
5,8,43997.99145880771,999999,5,6,1
6,5,43997.99145880771,0,999999,6,1
4,0,44007.44309822273,999999,2,6,1
5,3,44010.33113756873,5,1,999999,1
1,3,44021.414265309475,999999,1,5,1
6,1,44021.414265309475,999999,6,2,1
6,8,44021.986429295546,6,999999,3,1
6,5,44022.31858699729,999999,8,6,1
5,5,44025.331101525524,999999,0,6,1
5,8,44025.331101525524,2,999999,5,1
8,0,44029.98586366472,999999,2,8,1
8,8,44029.98586366472,3,6,999999,1
6,5,44039.88800719015,999999,6,2,1
4,3,44048.016874802765,999999,1,5,1
6,5,44052.07736944543,999999,6,8,1
8,5,44052.07736944543,1,3,5,1
1,8,44053.518780623934,2,999999,1,1
5,1,44053.518780623934,999999,6,3,1
2,6,44065.523889378135,999999,8,1,1
1,0,44065.89212218689,1,2,999999,1
5,6,44065.89212218689,999999,3,2,1
5,8,44067.049312680894,999999,6,5,1
6,5,44067.049312680894,5,999999,0,1
8,1,44067.049312680894,999999,4,7,1
6,7,44074.758732627946,999999,3,6,1
5,5,44077.347617364256,5,999999,6,1
4,0,44077.71122789761,1,6,999999,1
5,2,44079.092736844024,999999,2,5,1
6,8,44079.092736844024,999999,2,1,1
5,1,44084.674414633155,999999,2,0,1
6,3,44084.674414633155,999999,5,0,1
8,6,44084.674414633155,999999,2,0,1
1,4,44088.371135536436,1,5,6,1
5,3,44088.371135536436,999999,6,0,1
1,6,44092.278173278275,999999,3,2,1
5,5,44092.278173278275,999999,8,0,1
5,6,44092.278173278275,999999,4,8,1
8,7,44092.278173278275,8,999999,2,1
5,0,44095.39573326962,999999,4,5,1
7,3,44095.39573326962,4,999999,6,1
6,1,44105.18325131051,5,999999,2,1
6,3,44105.18325131051,0,999999,1,1
2,1,44111.5735901316,999999,6,3,1
8,4,44111.5735901316,1,999999,2,1
8,1,44111.63224131614,3,999999,2,1
5,1,44114.751397795524,999999,6,4,1
4,8,44116.45401723115,2,999999,0,1
5,5,44116.45401723115,999999,1,1,1
6,3,44133.513077436,999999,6,1,1
5,8,44134.225890908754,1,999999,2,1
6,5,44134.225890908754,6,999999,6,1
1,6,44137.23667842021,999999,5,0,1
6,1,44137.23667842021,5,999999,999999,1
6,2,44137.23667842021,999999,0,4,1
1,6,44138.21327821256,999999,0,3,1
6,5,44138.21327821256,1,999999,8,1
6,1,44139.92996089736,999999,5,2,1
5,2,44146.91279236529,5,999999,1,1
6,1,44146.91279236529,0,999999,3,1
5,5,44153.614440510784,3,999999,2,1
4,4,44155.04030755647,999999,5,2,1
6,0,44155.04030755647,1,6,3,1
1,1,44159.425869146195,999999,3,6,1
5,3,44159.425869146195,999999,7,6,1
6,1,44159.425869146195,999999,8,5,1
6,2,44168.375914846445,5,999999,6,1
6,5,44168.375914846445,6,999999,8,1
6,6,44168.375914846445,4,999999,1,1
2,1,44168.8085199411,999999,6,3,1
8,1,44168.8085199411,999999,6,5,1
6,4,44171.283736816295,999999,5,1,1
6,7,44171.283736816295,5,999999,1,1
5,3,44174.89952932873,999999,6,0,1
6,5,44174.89952932873,6,1,5,1
